abigail,2
afghan,2
afghanistan,2
afghanistan,2
africa,2
african,2
african,2
agatha,2
accidental,2348
accidentally,4434
actually,196459
al,2
alabama,2
alan,2
alarm,5601
alarmed,947
alarming,1060
alarms,1468
alas,4355
alaska,2
albert,2
ale,4921
alehouse,11
alexander,2
alfalfa,450
alice,2
alien,21217
aliens,11775
alike,5597
alive,20000
all,1699640
allegiance,1345
allegiances,66
allen,2
allergen,117
allergic,1967
allergies,1842
allergy,2767
alley,3013
alleys,240
alligator,725
allow,76959
allowed,44519
allowing,16706
allows,43224
almanac,1376
almond,647
almonds,454
almost,111603
alone,51002
along,92604
alongside,2366
aloud,1272
alphabet,2869
alphabetical,1750
already,146291
also,782969
although,109967
altogether,5418
aluminum,6382
always,200872
animal,24747
animals,25828
annual,23579
approval,10241
arrival,6177
arrivals,547
artificial,10243
asphalt,1273
bacterial,1350
balance,22513
balanced,10051
balancing,2422
bald,2766
ball,38504
balled,104
ballerina,142
ballerinas,56
ballet,1671
balloon,4614
balloons,1116
ballroom,1589
balls,13295
baseball,18374
beanstalk,100
bridal,1077
buffalo,8345
burial,1103
calendar,9384
calendars,1279
calf,1480
california,2
call,241964
called,187703
calling,38001
calls,46310
calm,6302
calmed,592
calming,510
calves,974
canal,2777
canals,468
cannibal,460
cannibals,235
capital,24648
capitals,1298
catalog,27377
cereal,3180
ceremonial,1092
chalk,1664
chalked,157
chemical,15318
chemicals,5988
coal,4840
coals,354
coastal,2109
comical,617
coral,4831
crystal,13439
crystals,2472
cultural,19231
culturally,1524
cymbal,387
deal,83768
dealer,17657
dealers,11291
dealing,21493
deals,14117
dial,12972
dialed,1013
dialing,3390
dials,1033
donald,2
emerald,6224
emeralds,161
enthusiastically,886
environmental,19352
equal,40064
equalled,155
equals,3377
escalator,191
especially,94106
eventually,31208
eyeball,467
eyeballs,452
fall,46061
fallen,19302
falling,13326
falls,15234
festival,9124
festivals,1367
fictional,2444
final,49027
finale,1935
finally,70039
finals,3388
foal,265
foals,196
football,17790
footballs,76
frantically,1130
funeral,3229
funerals,313
gale,926
gall,1260
gallant,483
galled,31
galley,472
galleys,125
gallon,3696
gallons,1935
gallop,216
galloped,25
galloping,219
galore,763
general,148206
generally,49993
generals,1917
gerald,2
goal,26032
goalie,1111
goals,14808
gradual,1709
gradually,5545
half,71928
halfpence,2
halfpenny,39
halfway,3521
hall,33445
hallow,70
halloween,2
halls,2472
hallway,2202
hallways,348
halves,1110
heal,4321
healed,1875
healing,8971
health,60952
healthy,13349
herbalist,132
hospital,19470
hospitals,3929
hullabaloo,64
ideal,17086
ideally,4368
italy,2
jealous,3343
jealousy,1499
kaleidoscope,175
koala,799
local,139854
loyalty,3122
magical,8372
magically,1451
majestically,52
male,58589
males,9192
mallard,408
malt,1884
malted,187
mammal,673
mammals,1556
marshall,8660
marshmallow,286
marshmallows,214
meal,6530
meals,4002
mealtime,79
meatball,310
medal,3317
medals,843
mental,18665
metal,28118
metals,2731
moral,21256
morals,2907
mortal,5722
musical,14698
musically,1282
musicals,882
national,114550
nationals,2558
natural,45296
naturally,12052
neutral,8124
nonsensical,788
normal,70984
normally,24875
oatmeal,831
occasional,8851
occasionally,15765
officially,7663
opal,666
oval,1756
ovals,248
overall,24847
overalls,313
pal,12347
palace,4355
palaces,207
pale,5426
paled,101
pales,363
paling,251
palm,5992
palmer,2
palms,1675
pals,1689
pascal,2
pedal,3245
pedals,2239
penalties,3586
penalty,9393
personal,108046
personally,45119
petal,197
petals,550
principal,9211
principals,2352
professional,48489
professionally,2396
professionals,22146
proposal,19001
proposals,9718
psalm,2
qualified,17756
qualifies,1957
qualify,9005
qualifying,2839
qualities,5103
quality,78897
radial,979
ralph,2
rascal,323
rascals,482
real,197765
realities,2344
reality,42963
realize,34839
realized,17383
realizes,2481
realizing,3483
really,398248
refusal,2642
regal,781
reginald,2
rehearsal,1115
rehearsals,449
reveal,7722
revealed,8949
revealing,3699
reveals,3528
ronald,2
royal,17666
salad,2493
salads,495
salami,289
sale,95393
sales,56203
saleslady,57
saliva,1139
sally,2
salmon,3078
salt,15260
salted,350
salting,81
salts,1173
saltshaker,8
salute,1323
saluted,145
scale,24683
scaled,1430
scales,3922
scaly,193
scientifically,1774
seal,6423
sealed,10335
sealing,720
seals,2302
sensational,746
several,170925
shall,60163
shallow,3763
sidewalk,1504
sidewalks,682
signal,28247
signaled,333
signaling,772
signals,10986
small,158744
smaller,28023
smallest,3475
smallish,522
snowball,486
snowballs,150
special,105767
specialist,10646
specialists,4959
specifically,32658
squall,199
squalls,46
squeal,591
squealed,316
squealing,336
squeals,205
stale,1401
stall,2796
stalled,674
stalling,800
stalls,1019
steal,11270
stealing,4746
steals,1782
subtropical,103
survival,9739
swallow,3186
swallowed,2216
swallowing,954
swallows,430
tale,6204
talent,10445
talented,5614
talents,3151
tales,8261
talk,91549
talkative,260
talked,17382
talking,78554
talks,13421
talky,55
tall,11348
taller,1911
teal,379
technically,7928
tropical,7923
unusual,12650
unusually,1907
usual,28952
usually,106390
vale,3939
valentine,2490
valley,24978
valleys,785
valuable,15460
veal,905
victual,6
victuals,13
walk,33095
walked,14970
walker,9024
walkers,1038
walking,18533
walks,6776
wall,91871
wallop,144
walloped,30
walloping,13
walls,12122
walnut,3422
walnuts,289
walrus,532
waltz,1183
wealth,11936
wealthy,4866
whale,2273
marshalls,2
walruses,2
callin,2
argumental,2
neutrals,2
fallin,2
alia,2
allergists,2
kaleidoscopes,2
foofamaloo,2
oatsdale,2
halfed,2
hallows,2
escalators,2
yall,2
walkin,2
whales,2
neutrally,2
salsa,2
musicale,2
sala,2
foundational,2
specials,2
koalas,2
floorwalker,2
calms,2
burials,2
petaled,2
galling,2
squalling,2
tallest,2
sal,2
challah,2
lala,2
stellalunas,2
beanstalks,2
equalling,2
alices,2
signalmen,2
albie,2
tallulah,2
royals,2
ballrooms,2
pinkalicious,2
ashalt,2
jellyball,2
alans,2
buffalos,2
valentines,2
staler,2
saluting,2
waltzing,2
alack,2
alabone,2
skakagrall,2
ovaltine,2
squalled,2
heals,2
albies,2
jellyballs,2
alligators,2
waltzes,2
salomé,2
malting,2
wallops,2
scaling,2
pedaling,2
chalking,2
salutes,2
ralphs,2
geralds,2
alphabets,2
jalapeno,2
tallchief,2
waltzed,2
chewandswallow,2
havalahs,2
calmity,2
stellaluna,2
alexanders,2
salmons,2
herbalists,2
approvals,2
dealed,2
tallchiefs,2
petaling,2
ali,2
gruffalos,2
lal,2
spitballs,2
mallards,2
malts,2
shalt,2
cymbals,2
spitball,2
oatmeals,2
catalogues,2
meatballs,2
refusals,2
pathetically,2
sals,2
environmentally,2
chalks,2
talkin,2
truckdonald,2
walky,2
baloney,2
almanacs,2
gruffalo,2
zall,2
tattletale,2
goalies,2
waldo,2
gallops,2
pascals,2
opals,2
pedaled,2
psalms,2
shallows,2
attitudinal,2
saltshakers,2
balsa,2
tallulahs,2
gamberally,2
tattletales,2
usuals,2
alphabetize,2
alabama,2
alan,2
balance,22513
balanced,10051
balancing,2422
alans,2
alaska,2
albert,2
alexander,2
alexanders,2
alice,2
alices,2
allen,2
fallen,19302
amazon,2
amazons,2
amazons,2
america,2
american,2
americas,2
americanized,2
american,2
americanized,2
americas,2
anchorage,2
angelina,2
angelinas,2
angelo,2
ann,2
anna,2
anne,2
annie,2
announce,10020
announced,21362
announcement,12321
announcements,10388
announcer,1148
announces,3450
announcing,3630
annual,23579
banner,3115
banners,740
canned,2419
cannibal,460
cannibals,235
canning,546
cannon,7581
cannot,108320
channel,40056
channeled,476
channels,16106
fanned,188
fanning,365
flannel,450
flannels,34
granny,586
mannered,283
manners,2989
nanny,789
planned,13959
planning,32802
tanned,562
tyrannosaurus,69
nannies,2
annabelle,2
anns,2
tanning,2
bannered,2
channeling,2
nannied,2
grannys,2
annabelles,2
annies,2
cannons,2
nannying,2
annas,2
anna,2
annabelle,2
annabelles,2
annas,2
anne,2
banner,3115
banners,740
canned,2419
channel,40056
channeled,476
channels,16106
fanned,188
flannel,450
flannels,34
mannered,283
manners,2989
planned,13959
tanned,562
bannered,2
channeling,2
annie,2
nannies,2
nannied,2
annies,2
antonio,2
april,2
argentina,2
arlene,2
arthur,2
arthurs,2
athens,2
attic,2
attics,2
august,2
babylon,2
badlands,2
barbara,2
barbaras,2
ben,2
bench,5362
benched,109
benches,557
bend,6893
bending,2227
bends,1136
beneath,5786
benjamin,2
bent,8477
benching,2
bens,2
bennetts,2
benjamin,2
albert,2
bert,2
liberty,17137
robert,2
berths,2
betty,2
bettys,2
billy,2
bobby,2
bombay,2
boston,2
brandywine,2
brazil,2
bristol,2
bunyan,2
caesar,2
caesars,2
california,2
canada,2
caribbean,2
carl,2
scarlet,1764
carle,2
carles,2
charles,2
charlie,2
chicago,2
china,2
chinaware,8
chinese,2
christen,2
christened,166
christening,97
christens,2
christmas,2
christopher,2
cinderella,2
clair,2
claire,2
eclair,53
claire,2
clara,2
clarabel,2
clark,2
claus,2
clauss,2
clyde,2
columbus,2
copenhagen,2
cyclops,2
cynthia,2
dakota,2
attendant,1262
attendants,684
dan,2
dance,26127
danced,1499
dancer,2995
dancers,3389
dances,3239
dancing,12611
dandelion,234
dandy,1226
danger,12705
dangerous,22258
dangerously,1123
dangers,2960
dank,596
dander,2
jordans,2
dancin,2
dandelions,2
danton,2
dave,2
davey,2
david,2
davids,2
december,2
denmark,2
abandon,3763
abandoned,5162
abandoning,1007
abandonment,788
don,2
donald,2
done,173970
donkey,2631
gordon,2
london,2
pardon,4887
pardoned,234
pardons,226
undone,694
loxodonta,2
donner,2
dont,2
donkeys,2
gordons,2
dongs,2
abandons,2
truckdonald,2
dong,2
pardoning,2
donts,2
donald,2
truckdonald,2
dover,2
earmuff,2
earmuffs,2
easter,2
eddie,2
teddies,2
edward,2
edwards,2
egypt,2
elizabeth,2
ellen,2
excellent,79400
emma,2
england,2
english,2
european,2
europeans,2
europeans,2
february,2
februarys,2
florence,2
florida,2
france,2
frances,2
frances,2
francisco,2
fred,2
freddy,2
french,2
frenchy,2
friday,2
fridays,2
fridays,2
frisbee,2
frisbees,2
george,2
georges,2
gerald,2
geralds,2
gloria,2
gloucester,2
gordon,2
gordons,2
gotham,2
greece,2
guinea,2
guineas,2
august,2
disgust,1916
disgusted,1589
disgusting,4756
fungus,887
gus,2
gust,300
gusts,185
gusty,60
angus,2
gusted,2
disgusts,2
gusting,2
halfpence,2
halloween,2
harriet,2
hastings,2
hector,2
helen,2
helens,2
henry,2
henrys,2
holmes,2
homer,2
horace,2
hudson,2
humpty,2
abandoning,1007
abigail,2
ability,56924
abusive,3528
accelerating,1039
accepting,7651
accident,11154
accidental,2348
accidentally,4434
accidents,4165
accompanied,4443
accompanying,2993
accordion,592
accounting,15756
achieve,15546
achieved,8307
achievement,3927
achieves,764
achieving,3182
aching,1101
acquaintance,1277
acrobatic,169
acting,16014
action,77758
actions,29728
adding,24068
addition,46940
adieu,144
adjusting,2342
admiration,1383
admire,3162
admired,1367
admires,252
admiring,624
admission,6006
admit,27204
admits,2678
admittance,331
admitted,8430
admitting,2279
adopting,1827
adoption,8653
advancing,2083
adventuring,226
advertise,7633
advertisement,4860
advertises,841
advertising,21737
advice,44490
advise,9063
advised,5554
advises,860
advisor,4538
affection,1912
affectionate,1173
affectionately,260
afghanistan,2
afraid,23305
africa,2
african,2
again,249682
against,172617
aging,2958
aid,18558
aided,1649
aiding,763
aids,22060
aim,7902
aimed,7153
aiming,1940
aimless,150
aimlessly,251
aims,2833
air,81117
aired,3090
airmail,750
airplane,4711
airplanes,1701
airport,11861
airports,1690
aisle,1390
alarming,1060
alice,2
alien,21217
aliens,11775
alike,5597
alive,20000
allegiance,1345
allegiances,66
allergic,1967
allergies,1842
alligator,725
allowing,16706
alongside,2366
alphabetical,1750
aluminum,6382
amazing,25098
amazingly,2718
america,2
american,2
americas,2
amiable,304
amid,965
amidst,695
amounting,248
amphibian,346
amusing,5618
anchoring,164
angelic,2817
angelina,2
angriest,44
animal,24747
animals,25828
annie,2
announcing,3630
antique,3348
antiques,1091
antonio,2
anxious,2736
anxiously,753
anything,214706
apologize,10437
apologized,1345
appearing,5679
appendix,6194
appetite,1815
appetites,271
appoint,1081
appointment,4708
appointments,1580
appreciate,49975
appreciated,60387
appreciates,670
appreciation,4330
approaching,4388
approving,509
april,2
aquarium,2951
arching,271
argentina,2
arguing,9532
arigato,66
aristocrat,124
aristocrats,166
arithmetic,3292
armadillo,292
armchair,613
armchairs,41
armies,3354
arranging,1167
arrival,6177
arrivals,547
arrive,9550
arrived,13608
arrives,4208
arriving,3164
artificial,10243
artist,17007
artistic,4329
artists,16886
aside,17415
asking,55494
assign,6451
assigned,10864
assigning,1550
assignment,8031
assuring,665
astonish,210
astonished,1071
astonishing,1358
astonishment,513
astounding,1207
attaching,1495
attending,5779
attention,45083
attic,2
attitude,20638
attitudes,5411
auntie,404
authorities,12624
authority,23587
automobile,3055
automobiles,1465
avoid,45329
avoided,5308
avoiding,5101
avoids,1782
await,1684
awaited,801
awaits,774
awakening,1982
awhile,7863
awning,77
awnings,17
babies,8485
backing,6094
bacteria,4643
bacterial,1350
bagpipe,369
bait,4291
baited,336
baking,3010
balancing,2422
ballerina,142
ballerinas,56
banging,1388
banking,6747
barking,1642
basking,422
bathing,1508
batteries,7543
battering,2597
battling,841
beaching,39
beaming,562
beating,7415
beauties,539
beautiful,31344
beautifully,2428
beckoning,167
becoming,19873
bedtime,1247
beehive,216
begging,3092
begin,60830
beginner,3843
beginners,4395
beginning,43741
begins,14704
beguiling,67
behaving,1296
behavior,29915
behaviors,3044
behind,64877
beige,1331
being,362270
belching,126
believe,208408
believed,14690
believes,11980
bellies,368
bellowing,135
belonging,2334
bending,2227
benjamin,2
berries,614
beside,6898
besides,33524
betting,2476
betwixt,191
bewilder,24
bewildered,542
bewitch,15
bewitched,157
bewitching,159
bib,783
bicycle,5040
bicycles,1414
bid,121987
bidding,12702
bids,53930
big,178683
bigger,19126
biggest,17944
bike,22529
bill,116921
billed,1961
billing,4333
billion,20700
billions,4133
bills,10430
billy,2
bin,15833
binding,8426
bing,659
bingo,1471
bins,718
biplane,147
bird,19072
birdie,606
birds,14489
birth,23369
birthday,8559
birthed,62
births,1052
biscuit,601
biscuits,692
bit,159208
bitch,9408
bite,8164
bites,2888
biting,2399
bits,23835
bitten,1326
bitter,5912
bittersweet,317
bizarre,5946
blackbird,564
blackbirds,102
blacksmith,4751
blaming,2375
blasting,1846
blazing,2949
bleaching,256
bleating,189
bleeding,4311
blending,907
blessing,6966
blessings,2073
blind,13561
blinded,2271
blinding,813
blinds,704
blink,2058
blinked,562
blinking,2038
bliss,2220
blithe,199
blizzard,2104
blizzards,105
blocking,4437
blooming,705
blowfish,399
blowing,4790
blueberries,208
blushing,652
boarding,1556
boasting,395
boating,1035
bobbin,183
bobbing,472
bodied,368
bodies,14304
boil,3839
boiled,1943
boiler,890
boiling,3080
boils,1553
bombing,4663
bonfire,293
bonfires,51
boogie,1279
booking,1754
bookish,63
booming,815
boring,12709
borrowing,2327
bothering,2371
bottling,602
bouncing,2517
bounding,584
bowing,676
bowling,5428
boxing,2812
braid,503
braided,433
braiding,105
braids,188
brain,54115
brains,6644
brainy,260
branching,529
brandywine,2
braying,54
brazil,2
breaking,12259
breathing,7056
brewing,3161
brick,3971
bricks,1695
bridal,1077
bride,3678
brides,601
bridge,19358
bridges,4432
bridle,382
brief,19497
briefed,558
briefing,1945
briefs,1286
bright,13728
brighten,331
brightened,205
brightens,60
brighter,1621
brightest,1025
brightly,891
brilliant,7733
brilliantly,585
bring,56512
bringing,13173
brings,12636
brisk,350
briskly,239
bristle,231
bristled,51
bristles,135
bristling,125
bristol,2
brittle,739
broccoli,917
brownish,279
bruin,278
bruise,458
bruised,716
bruising,235
brushing,1517
bubbling,567
bucking,568
buckling,186
buddies,2401
budding,718
buggies,105
bugging,912
build,47710
building,48372
buildings,6986
builds,3737
built,39881
bulging,606
bullfinch,8
bullring,33
bumping,866
bunting,160
burial,1103
buried,6873
buries,154
burrowing,2539
bursting,935
busied,56
busily,315
business,156878
businesses,14117
butterflies,675
butting,275
buying,35505
buzzing,949
cabin,3132
cabins,788
california,2
calling,38001
calming,510
campfire,497
camping,4211
campsite,416
candied,124
candies,262
candlestick,191
cannibal,460
cannibals,235
canning,546
canvassing,64
capital,24648
capitals,1298
captain,21158
captains,1302
captivate,54
captivated,226
captivating,204
captive,2138
capturing,1527
caribbean,2
caring,4917
carnation,314
carriage,2570
carriages,204
carried,17978
carrier,14460
carries,9117
carrion,3259
carrying,14837
carving,1008
casing,966
casting,6745
catching,3887
caterpillar,415
caterpillars,108
catnip,388
causing,15665
caution,4354
cautioned,414
cautions,383
cautious,1961
cautiously,676
caving,456
ceasing,208
ceiling,4996
ceilings,639
celebrating,1636
celebration,2903
ceremonial,1092
ceremonies,1668
certain,81376
certainly,72398
chain,23317
chains,7006
chair,18591
chairs,3116
champion,8245
champions,4533
championship,7148
championships,2986
chandelier,168
chandeliers,65
changing,29705
chanting,1330
charging,5144
charlie,2
charming,2674
chasing,2890
chattering,201
chatting,1402
cheating,3255
checking,16446
cheering,907
chemical,15318
chemicals,5988
cherish,663
cherished,704
cherishing,49
cherries,448
chewing,1866
chicago,2
chick,3180
chicken,11480
chickens,1734
chicks,1083
chief,19009
chiefs,1507
child,64731
childhood,5516
children,96104
chilled,668
chills,709
chilly,637
chimney,538
chimneys,101
chimp,339
chimpanzee,384
chin,4749
china,2
chinaware,8
chinese,2
chins,299
chip,35546
chipped,1384
chipping,671
chips,20594
chirp,300
chirped,50
chirping,167
choice,65534
choices,13554
choking,1064
choosing,7053
chopping,733
christen,2
christened,166
christening,97
christmas,2
christopher,2
chugging,188
churning,450
cider,670
cigar,1242
cigars,447
cinder,478
cinderella,2
cinders,84
cinnamon,1370
circle,19889
circled,538
circles,6688
circling,665
circulate,795
circulating,1341
circulation,4679
circus,3419
cities,17911
city,102009
civil,27982
civilian,5956
civilians,4632
claim,56599
claimed,18855
claiming,11563
claims,33805
clair,2
claire,2
clambering,31
clanking,70
clapping,486
clarinet,1636
clasping,163
classified,6246
classify,1702
clattering,38
clawing,245
cleaning,9557
clearing,4307
click,20059
clicked,1728
clicking,3711
clicks,1577
cliff,5134
cliffs,1408
climate,6912
climates,745
climb,6146
climbed,2314
climbing,5865
climbs,1279
cling,1222
clinging,895
clings,207
clip,7283
clipped,1733
clips,5203
closing,11373
clothesline,355
clothing,10046
clowning,91
clucking,56
clumsily,209
clutching,660
coating,2081
coaxing,223
coding,8401
coffin,3603
coil,3386
coiled,282
coiling,49
coils,1318
coin,6377
coins,4462
collapsing,875
collecting,8886
collection,40168
collections,6185
coloring,1561
combing,409
comedian,1126
comedians,318
comforting,1119
comic,17080
comical,617
comics,27579
coming,72958
commanding,1413
commenting,2697
commit,8069
commitment,9981
commits,899
committed,14963
committing,2853
companies,67683
comparing,8929
compelling,3443
competition,21418
complain,12435
complained,4838
complaining,8069
complains,2661
complaint,8182
complaints,9720
completing,2548
compliment,2188
complimented,383
complimenting,110
compliments,1186
composing,1407
concerning,20700
concluding,883
condition,70145
conditioned,1525
conditioning,2767
conditions,34779
confessing,243
confetti,186
confusing,8757
congratulation,112
congratulations,3455
consenting,1609
consider,78625
considerate,1307
considered,59120
considering,29381
considers,4140
consist,4629
consisted,2385
consisting,3893
consists,11615
constrict,95
constricted,175
constricting,141
constrictor,138
constrictors,30
constructing,1574
construction,21133
contagious,692
contain,25744
contained,13883
container,5357
containers,2070
containing,20560
contains,52020
continue,55899
continued,24930
continues,16414
contrive,111
contrived,877
contriving,39
conversation,16066
conversations,4630
conveying,436
convince,12077
convinced,11784
convincing,4924
cookie,2955
cookies,2586
cooking,6593
cooling,3760
coordinate,4828
coordinated,2015
coordinates,3738
coordinating,1794
copied,7865
copies,37165
copying,7484
cornering,402
coronation,416
cottontail,29
coughing,532
counties,2426
counting,8451
countries,47890
countryside,1445
coupling,1220
courting,271
cousin,4075
cousins,2374
covering,10315
cowgirl,222
cracking,1855
crackling,337
cranberries,624
crashing,3624
crawling,1562
creaking,178
creating,25600
creation,22644
creations,1926
creative,19099
creatively,559
creativity,4397
credit,49112
credited,2569
credits,9253
creeping,1067
crib,1282
cribs,140
cricket,6215
crickets,507
cried,3973
cries,2443
crime,33498
crimes,13473
crimson,5419
crinkle,55
crinkles,27
crinkly,56
cripple,931
crippled,1525
crippling,672
crisp,2039
crispy,439
crisscross,59
croaking,68
crocodile,523
crooning,61
crossing,5174
crowing,177
crowning,219
crumbling,555
crushing,1408
crying,6880
cunning,1065
cupid,273
curbing,241
curdling,47
curing,632
curious,20420
curiously,1054
curling,916
cursing,851
curtain,1955
curtains,896
curving,251
cushion,834
cushions,429
cutting,13821
cynthia,2
dabbing,35
daffodil,85
daffodils,128
daily,39095
daintily,50
dainty,250
dairy,2685
daisies,300
daisy,1332
damaging,3402
dancing,12611
dandelion,234
daring,1512
darkening,252
darling,2418
darting,198
dashing,584
dating,5731
david,2
daylight,2087
daytime,3000
dealing,21493
dearie,145
deceit,923
decide,35827
decided,49699
decides,6985
deciding,5759
decision,36603
decisions,15392
declaring,2313
decorating,394
decoration,638
decorations,818
dedicate,840
dedicated,18081
dedicates,110
definitely,34231
delicate,2799
delicious,2483
delight,3209
delighted,2286
delightful,1706
delighting,76
delights,641
delirious,261
deliver,9866
delivered,11495
delivering,3263
delivers,1984
delivery,17825
delving,286
demanding,5489
demonstrating,2470
dentist,1487
dentists,679
departing,792
depending,28393
depressing,1978
descending,1211
describe,22982
described,31651
describes,11729
describing,9625
deserving,1679
design,110691
designs,12259
desire,23190
desires,5896
desist,639
despair,3881
despairing,107
despite,26142
destination,6999
destine,72
destined,1977
detail,21055
detailed,21092
details,68642
detective,4314
detectives,551
determine,25581
determined,16294
determines,3699
determining,5076
developing,27025
devil,8236
devilish,252
devils,4446
diabetes,5307
dial,12972
dialed,1013
dialing,3390
dials,1033
diamond,18293
diamonds,2491
diaper,1101
diapers,1209
dictionaries,1949
dictionary,13454
did,382595
die,67933
died,28769
dies,8974
diesel,3274
diet,12434
diets,1607
difference,74567
differences,23535
different,223504
differently,9727
difficult,52557
difficulties,5786
difficulty,11904
dig,8931
digger,354
digging,4484
dignified,612
dignify,163
digs,689
dim,4291
dime,2559
dimes,376
dine,572
dined,148
diner,1032
dines,41
dingo,336
dingy,222
dining,2672
dinner,13033
dinners,727
dinosaur,2383
dinosaurs,2026
dip,5049
dipped,888
dipping,772
dips,676
direct,54884
directed,17590
directing,2562
direction,30903
directions,11882
directly,69935
directs,1104
dirt,7644
dirty,14096
disabilities,3622
disability,4779
disappear,5769
disappeared,6159
disappearing,1519
disappears,2269
disappoint,977
disappointed,7624
disappointing,2059
disappointment,2261
disaster,8162
disasters,1715
discontent,526
discontented,67
discourage,2762
discouraged,2752
discouraging,768
discover,11101
discovered,20068
discovering,2116
discovers,1405
discuss,30219
discussed,21004
discusses,4641
discussing,14188
disguise,2142
disguised,1596
disguises,230
disgust,1916
disgusted,1589
disgusting,4756
dish,7239
dished,204
dishes,3413
disk,108082
disks,30275
disobey,342
disobeyed,198
disobeying,210
display,48973
displayed,10193
displaying,4153
displays,9781
displease,65
displeased,325
displeasing,60
distance,29804
distances,3256
distant,6080
distinguish,5241
distinguished,2582
distinguishes,711
distinguishing,1256
distraction,1299
distractions,489
distressed,662
distribute,13233
distributed,28507
distributes,1185
distributing,3857
disturb,1396
disturbed,2532
disturbing,3831
ditch,1737
ditches,271
dither,371
ditty,290
diva,874
dive,8179
dived,373
diver,1736
divers,1898
dives,1581
divide,6286
divided,8110
divides,834
dividing,1870
divine,12810
diving,6141
division,35086
divisions,3805
divvy,54
dizziness,538
dizzy,1909
dodging,847
doily,25
doing,166243
dolphin,1646
dolphins,1616
domestic,12575
doornail,42
dotting,43
doubling,2032
downstairs,1707
dozing,164
dragging,2811
drain,14862
drained,1700
draining,892
drains,1182
drawing,14504
drawings,4519
dreaming,5438
dressing,2886
dried,4285
dries,771
drift,3324
drifted,1117
drifting,937
drifts,323
driftwood,254
drill,5864
drilled,1398
drilling,1704
drills,896
drink,19874
drinking,10925
drinks,4942
drip,1350
dripped,427
dripping,2102
drips,498
drive,171710
driver,69009
drivers,55264
drives,43189
driveway,1149
driveways,88
driving,22385
drizzle,285
drizzling,21
dropping,7291
droppings,348
drowning,1441
drumming,830
drying,1611
duckbill,16
ducking,655
duckling,85
dumping,2469
dumpling,107
during,137337
dusting,289
duties,9230
dwelling,866
dying,10153
earlier,40305
earring,419
earrings,877
easier,46415
easiest,7938
easily,52245
easing,589
eating,16626
echoing,758
