word,condition,consistency
beaker,high_bob_consistency,high
picnic,high_bob_consistency,high
common,high_bob_consistency,high
dangle,high_bob_consistency,high
fiscal,high_bob_consistency,high
foster,high_bob_consistency,high
gargle,high_bob_consistency,high
gather,high_bob_consistency,high
hazard,high_bob_consistency,high
hither,high_bob_consistency,high
hostel,high_bob_consistency,high
corset,high_bob_consistency,high
lather,high_bob_consistency,high
mangle,high_bob_consistency,high
margin,high_bob_consistency,high
mildew,high_bob_consistency,high
motion,high_bob_consistency,high
parcel,high_bob_consistency,high
censor,high_bob_consistency,high
ransom,high_bob_consistency,high
rescue,high_bob_consistency,high
roster,high_bob_consistency,high
spiral,high_bob_consistency,high
staple,high_bob_consistency,high
tether,high_bob_consistency,high
beacon,low_bob3_consistency,low
pillar,low_bob3_consistency,low
cosmos,low_bob3_consistency,low
dazzle,low_bob3_consistency,low
filter,low_bob3_consistency,low
format,low_bob3_consistency,low
garble,low_bob3_consistency,low
gadget,low_bob3_consistency,low
hamper,low_bob3_consistency,low
hiccup,low_bob3_consistency,low
hockey,low_bob3_consistency,low
corpus,low_bob3_consistency,low
ladder,low_bob3_consistency,low
manage,low_bob3_consistency,low
marvel,low_bob3_consistency,low
mingle,low_bob3_consistency,low
motive,low_bob3_consistency,low
pardon,low_bob3_consistency,low
cellar,low_bob3_consistency,low
random,low_bob3_consistency,low
reckon,low_bob3_consistency,low
rocket,low_bob3_consistency,low
spider,low_bob3_consistency,low
stable,low_bob3_consistency,low
tendon,low_bob3_consistency,low
bamboo,high_v1c2_consistency,high
bumble,high_v1c2_consistency,high
burlap,high_v1c2_consistency,high
cashew,high_v1c2_consistency,high
cattle,high_v1c2_consistency,high
column,high_v1c2_consistency,high
damsel,high_v1c2_consistency,high
doctor,high_v1c2_consistency,high
fidget,high_v1c2_consistency,high
fumble,high_v1c2_consistency,high
goblin,high_v1c2_consistency,high
huddle,high_v1c2_consistency,high
jabber,high_v1c2_consistency,high
juggle,high_v1c2_consistency,high
kettle,high_v1c2_consistency,high
mussel,high_v1c2_consistency,high
pebble,high_v1c2_consistency,high
gambit,high_v1c2_consistency,high
ramble,high_v1c2_consistency,high
ribbon,high_v1c2_consistency,high
talent,high_v1c2_consistency,high
tender,high_v1c2_consistency,high
ticket,high_v1c2_consistency,high
trife,high_v1c2_consistency,high
tumble,high_v1c2_consistency,high
banner,low_v1c2_consistency,low
bunker,low_v1c2_consistency,low
burrow,low_v1c2_consistency,low
canyon,low_v1c2_consistency,low
cannon,low_v1c2_consistency,low
combat,low_v1c2_consistency,low
damage,low_v1c2_consistency,low
donkey,low_v1c2_consistency,low
fiddle,low_v1c2_consistency,low
funnel,low_v1c2_consistency,low
gothic,low_v1c2_consistency,low
hunger,low_v1c2_consistency,low
jagged,low_v1c2_consistency,low
jungle,low_v1c2_consistency,low
kennel,low_v1c2_consistency,low
musket,low_v1c2_consistency,low
pelvis,low_v1c2_consistency,low
gasket,low_v1c2_consistency,low
rankle,low_v1c2_consistency,low
riddle,low_v1c2_consistency,low
tangle,low_v1c2_consistency,low
tennis,low_v1c2_consistency,low
tinsel,low_v1c2_consistency,low
tribal,low_v1c2_consistency,low
tunnel,low_v1c2_consistency,low
