word,consistency,frequency
coffee,high,high
corner,high,high
dinner,high,high
doctor,high,high
finger,high,high
former,high,high
happen,high,high
market,high,high
matter,high,high
middle,high,high
pardon,high,high
sector,high,high
seldom,high,high
simple,high,high
terror,high,high
winter,high,high
common,low,high
couple,low,high
danger,low,high
damage,low,high
figure,low,high
fellow,low,high
heaven,low,high
modest,low,high
master,low,high
modern,low,high
palace,low,high
season,low,high
second,low,high
social,low,high
target,low,high
window,low,high
cosmos,high,low
corpus,high,low
dazzle,high,low
dimple,high,low
filter,high,low
format,high,low
hamper,high,low
marvel,high,low
mingle,high,low
motive,high,low
pillar,high,low
spider,high,low
stable,high,low
sandal,high,low
tendon,high,low
wombat,high,low
column,low,low
corset,low,low
dangle,low,low
dither,low,low
fiscal,low,low
foster,low,low
hazard,low,low
margin,low,low
mildew,low,low
mangle,low,low
picnic,low,low
spiral,low,low
staple,low,low
savage,low,low
tether,low,low
wobble,low,low
