orth,latency,word_type,regularity
bath,706,word,regular
beef,549,word,regular
bleed,567,word,regular
breed,560,word,regular
buff,584,word,regular
bust,527,word,regular
cold,651,word,regular
code,618,word,regular
deal,551,word,regular
dean,571,word,regular
dream,577,word,regular
dune,561,word,regular
feet,669,word,regular
goad,628,word,regular
greet,676,word,regular
haze,547,word,regular
heat,543,word,regular
heed,604,word,regular
hoop,546,word,regular
lobe,586,word,regular
lode,604,word,regular
meld,554,word,regular
mode,532,word,regular
must,577,word,regular
note,594,word,regular
pink,601,word,regular
plain,599,word,regular
port,639,word,regular
posh,643,word,regular
probe,582,word,regular
puff,557,word,regular
shore,605,word,regular
soil,630,word,regular
sole,679,word,regular
soon,600,word,regular
spool,735,word,regular
steal,649,word,regular
sweet,684,word,regular
told,574,word,regular
wail,532,word,regular
weak,555,word,regular
wilt,575,word,regular
wore,582,word,regular
both,601,word,exception
been,677,word,exception
blood,676,word,exception
bread,577,word,exception
bull,559,word,exception
bush,598,word,exception
comb,605,word,exception
come,644,word,exception
dead,676,word,exception
deaf,609,word,exception
dread,669,word,exception
done,543,word,exception
foot,624,word,exception
good,658,word,exception
great,635,word,exception
have,636,word,exception
head,667,word,exception
hood,558,word,exception
hoof,590,word,exception
lose,595,word,exception
love,641,word,exception
mild,545,word,exception
move,601,word,exception
most,509,word,exception
none,522,word,exception
pint,610,word,exception
plaid,722,word,exception
post,566,word,exception
push,620,word,exception
prove,627,word,exception
pull,593,word,exception
shove,672,word,exception
said,658,word,exception
some,622,word,exception
soot,718,word,exception
spook,645,word,exception
steak,763,word,exception
sweat,786,word,exception
tomb,707,word,exception
wool,571,word,exception
wear,561,word,exception
wild,592,word,exception
were,567,word,exception
cath,604,pseudoword,regular
heef,607,pseudoword,regular
dreed,662,pseudoword,regular
sheed,664,pseudoword,regular
wuff,525,pseudoword,regular
nust,522,pseudoword,regular
pold,624,pseudoword,regular
gode,749,pseudoword,regular
feal,579,pseudoword,regular
hean,614,pseudoword,regular
bleam,587,pseudoword,regular
mune,621,pseudoword,regular
peet,625,pseudoword,regular
soad,629,pseudoword,regular
steet,692,pseudoword,regular
taze,611,pseudoword,regular
weat,627,pseudoword,regular
beed,575,pseudoword,regular
moop,665,pseudoword,regular
cobe,594,pseudoword,regular
hode,566,pseudoword,regular
beld,598,pseudoword,regular
pode,613,pseudoword,regular
sust,628,pseudoword,regular
wote,562,pseudoword,regular
bink,573,pseudoword,regular
prain,665,pseudoword,regular
bort,609,pseudoword,regular
wosh,761,pseudoword,regular
brobe,684,pseudoword,regular
suff,648,pseudoword,regular
plore,609,pseudoword,regular
hoil,656,pseudoword,regular
lole,584,pseudoword,regular
doon,606,pseudoword,regular
grool,642,pseudoword,regular
sweal,673,pseudoword,regular
speet,689,pseudoword,regular
dold,550,pseudoword,regular
lail,590,pseudoword,regular
meak,535,pseudoword,regular
pilt,598,pseudoword,regular
dore,610,pseudoword,regular
coth,725,pseudoword,exception
heen,586,pseudoword,exception
drood,656,pseudoword,exception
shead,747,pseudoword,exception
wull,678,pseudoword,exception
nush,621,pseudoword,exception
pomb,643,pseudoword,exception
gome,714,pseudoword,exception
fead,638,pseudoword,exception
heaf,630,pseudoword,exception
blead,580,pseudoword,exception
mone,641,pseudoword,exception
poot,610,pseudoword,exception
sood,596,pseudoword,exception
steat,757,pseudoword,exception
tave,598,pseudoword,exception
wead,630,pseudoword,exception
bood,809,pseudoword,exception
moof,543,pseudoword,exception
cose,655,pseudoword,exception
hove,684,pseudoword,exception
bild,653,pseudoword,exception
pove,641,pseudoword,exception
sost,695,pseudoword,exception
wone,599,pseudoword,exception
bint,707,pseudoword,exception
praid,643,pseudoword,exception
bost,613,pseudoword,exception
wush,580,pseudoword,exception
brove,677,pseudoword,exception
sull,630,pseudoword,exception
plove,676,pseudoword,exception
haid,588,pseudoword,exception
lome,649,pseudoword,exception
doot,561,pseudoword,exception
grook,706,pseudoword,exception
sweak,690,pseudoword,exception
speat,691,pseudoword,exception
domb,910,pseudoword,exception
lool,575,pseudoword,exception
mear,557,pseudoword,exception
pild,612,pseudoword,exception
dere,617,pseudoword,exception
