orth,latency,consistency,regularity
been,594,inconsistent,exception
both,620,inconsistent,exception
break,555,inconsistent,exception
broad,612,inconsistent,exception
bush,660,inconsistent,exception
caste,656,inconsistent,exception
come,525,inconsistent,exception
deaf,588,inconsistent,exception
done,547,inconsistent,exception
flood,560,inconsistent,exception
foot,551,inconsistent,exception
full,535,inconsistent,exception
give,503,inconsistent,exception
gone,546,inconsistent,exception
great,517,inconsistent,exception
gross,561,inconsistent,exception
have,492,inconsistent,exception
hoof,587,inconsistent,exception
lose,558,inconsistent,exception
love,472,inconsistent,exception
move,475,inconsistent,exception
none,496,inconsistent,exception
pear,561,inconsistent,exception
pint,641,inconsistent,exception
plaid,680,inconsistent,exception
plow,563,inconsistent,exception
prove,535,inconsistent,exception
pull,565,inconsistent,exception
push,584,inconsistent,exception
said,541,inconsistent,exception
says,536,inconsistent,exception
shall,496,inconsistent,exception
shoes,454,inconsistent,exception
some,534,inconsistent,exception
soot,584,inconsistent,exception
steak,538,inconsistent,exception
touch,520,inconsistent,exception
wand,554,inconsistent,exception
were,610,inconsistent,exception
wool,526,inconsistent,exception
work,506,inconsistent,exception
seen,521,inconsistent,regular
moth,555,inconsistent,regular
peak,551,inconsistent,regular
toad,534,inconsistent,regular
flush,570,inconsistent,regular
baste,605,inconsistent,regular
dome,576,inconsistent,regular
leaf,522,inconsistent,regular
bone,549,inconsistent,regular
brood,704,inconsistent,regular
shoot,476,inconsistent,regular
gull,568,inconsistent,regular
five,573,inconsistent,regular
shone,521,inconsistent,regular
seat,504,inconsistent,regular
loss,547,inconsistent,regular
wave,528,inconsistent,regular
proof,570,inconsistent,regular
nose,497,inconsistent,regular
grove,642,inconsistent,regular
cove,574,inconsistent,regular
cone,524,inconsistent,regular
sear,540,inconsistent,regular
stint,622,inconsistent,regular
braid,598,inconsistent,regular
grow,524,inconsistent,regular
wove,536,inconsistent,regular
dull,534,inconsistent,regular
plush,562,inconsistent,regular
paid,582,inconsistent,regular
plays,495,inconsistent,regular
wall,500,inconsistent,regular
goes,567,inconsistent,regular
home,464,inconsistent,regular
boot,544,inconsistent,regular
weak,500,inconsistent,regular
pouch,584,inconsistent,regular
sand,512,inconsistent,regular
here,527,inconsistent,regular
fool,549,inconsistent,regular
pork,489,inconsistent,regular
beef,509,consistent,exception_control
bond,550,consistent,exception_control
brief,560,consistent,exception_control
broom,587,consistent,exception_control
bust,625,consistent,exception_control
carve,554,consistent,exception_control
code,492,consistent,exception_control
deal,526,consistent,exception_control
dope,493,consistent,exception_control
fleet,544,consistent,exception_control
feed,522,consistent,exception_control
funk,619,consistent,exception_control
gate,542,consistent,exception_control
gore,531,consistent,exception_control
greek,505,consistent,exception_control
gruff,579,consistent,exception_control
haze,451,consistent,exception_control
hoop,568,consistent,exception_control
lobe,500,consistent,exception_control
life,507,consistent,exception_control
mole,469,consistent,exception_control
note,494,consistent,exception_control
peas,531,consistent,exception_control
pink,605,consistent,exception_control
plain,551,consistent,exception_control
ploy,556,consistent,exception_control
prune,512,consistent,exception_control
pump,612,consistent,exception_control
pulp,520,consistent,exception_control
sail,533,consistent,exception_control
sues,629,consistent,exception_control
shaft,483,consistent,exception_control
shout,432,consistent,exception_control
same,491,consistent,exception_control
soon,460,consistent,exception_control
steam,514,consistent,exception_control
teach,474,consistent,exception_control
walk,489,consistent,exception_control
ware,523,consistent,exception_control
wait,511,consistent,exception_control
worn,545,consistent,exception_control
seed,496,consistent,regular_control
mock,517,consistent,regular_control
peal,572,consistent,regular_control
tied,532,consistent,regular_control
fluff,559,consistent,regular_control
barge,603,consistent,regular_control
dope,526,consistent,regular_control
leap,529,consistent,regular_control
bore,544,consistent,regular_control
broom,583,consistent,regular_control
sheet,516,consistent,regular_control
gulp,618,consistent,regular_control
fine,524,consistent,regular_control
shame,489,consistent,regular_control
seam,523,consistent,regular_control
loft,535,consistent,regular_control
wade,520,consistent,regular_control
proud,445,consistent,regular_control
note,484,consistent,regular_control
grate,567,consistent,regular_control
cage,483,consistent,regular_control
code,503,consistent,regular_control
sees,483,consistent,regular_control
stink,545,consistent,regular_control
brain,510,consistent,regular_control
gray,453,consistent,regular_control
woke,544,consistent,regular_control
dump,503,consistent,regular_control
pluck,540,consistent,regular_control
ppail,536,consistent,regular_control
pleas,553,consistent,regular_control
walk,538,consistent,regular_control
goal,521,consistent,regular_control
hole,465,consistent,regular_control
boon,674,consistent,regular_control
weep,538,consistent,regular_control
poach,577,consistent,regular_control
sank,548,consistent,regular_control
hire,482,consistent,regular_control
feel,550,consistent,regular_control
port,495,consistent,regular_control
