word,condition,frequency
paid,inconsistent,high
rare,inconsistent,high
slave,inconsistent,high
break,inconsistent,high
treat,inconsistent,high
goes,inconsistent,high
home,inconsistent,high
son,inconsistent,high
food,inconsistent,high
tooth,inconsistent,high
lose,inconsistent,high
cloth,inconsistent,high
though,inconsistent,high
four,inconsistent,high
drove,inconsistent,high
dull,inconsistent,high
push,inconsistent,high
poor,inconsistent,high
wear,inconsistent,high
stone,inconsistent,high
raid,inconsistent,low
scare,inconsistent,low
crave,inconsistent,low
steak,inconsistent,low
pleat,inconsistent,low
foes,inconsistent,low
dome,inconsistent,low
ton,inconsistent,low
brood,inconsistent,low
booth,inconsistent,low
dose,inconsistent,low
broth,inconsistent,low
dough,inconsistent,low
pour,inconsistent,low
wove,inconsistent,low
hull,inconsistent,low
bush,inconsistent,low
moor,inconsistent,low
pear,inconsistent,low
prone,inconsistent,low
paint,consistent,high
rang,consistent,high
seek,consistent,high
beer,consistent,high
trend,consistent,high
gain,consistent,high
held,consistent,high
seem,consistent,high
fish,consistent,high
turn,consistent,high
large,consistent,high
clerk,consistent,high
throat,consistent,high
fact,consistent,high
dance,consistent,high
dirt,consistent,high
plane,consistent,high
park,consistent,high
wild,consistent,high
sense,consistent,high
taint,consistent,low
bang,consistent,low
creek,consistent,low
peer,consistent,low
rend,consistent,low
stain,consistent,low
weld,consistent,low
deem,consistent,low
dish,consistent,low
burn,consistent,low
barge,consistent,low
perk,consistent,low
bloat,consistent,low
pact,consistent,low
stance,consistent,low
flirt,consistent,low
pane,consistent,low
hark,consistent,low
mild,consistent,low
dense,consistent,low
