word,friends_enemies,condition,pair_id
says,exception,friends<enemies,1
break,exception,friends<enemies,2
bear,exception,friends<enemies,3
youth,exception,friends<enemies,4
were,exception,friends<enemies,5
give,exception,friends<enemies,6
broad,exception,friends<enemies,7
blood,exception,friends<enemies,8
whom,exception,friends<enemies,9
son,exception,friends<enemies,10
gone,exception,friends<enemies,11
foot,exception,friends<enemies,12
lose,exception,friends<enemies,13
gross,exception,friends<enemies,14
though,exception,friends<enemies,15
move,exception,friends<enemies,16
put,exception,friends<enemies,17
push,exception,friends<enemies,18
rough,exception,friends<enemies,19
show,exception,friends<enemies,20
seem,regular,friends<enemies,1
board,regular,friends<enemies,2
beef,regular,friends<enemies,3
yes,regular,friends<enemies,4
with,regular,friends<enemies,5
girl,regular,friends<enemies,6
born,regular,friends<enemies,7
beach,regular,friends<enemies,8
wish,regular,friends<enemies,9
size,regular,friends<enemies,10
goal,regular,friends<enemies,11
firm,regular,friends<enemies,12
left,regular,friends<enemies,13
gift,regular,friends<enemies,14
third,regular,friends<enemies,15
mean,regular,friends<enemies,16
proud,regular,friends<enemies,17
point,regular,friends<enemies,18
risk,regular,friends<enemies,19
short,regular,friends<enemies,20
paid,regular_inconsistent,friends<enemies,21
goes,regular_inconsistent,friends<enemies,22
home,regular_inconsistent,friends<enemies,23
shall,regular_inconsistent,friends<enemies,24
your,regular_inconsistent,friends<enemies,25
cloth,regular_inconsistent,friends<enemies,26
care,regular_inconsistent,friends<enemies,27
tone,regular_inconsistent,friends<enemies,28
gave,regular_inconsistent,friends<enemies,29
drove,regular_inconsistent,friends<enemies,30
key,regular_inconsistent,friends<enemies,31
cost,regular_inconsistent,friends<enemies,32
food,regular_inconsistent,friends<enemies,33
plant,regular_inconsistent,friends<enemies,34
beard,regular_inconsistent,friends<enemies,35
dull,regular_inconsistent,friends<enemies,36
here,regular_inconsistent,friends<enemies,37
treat,regular_inconsistent,friends<enemies,38
lord,regular_inconsistent,friends<enemies,39
tooth,regular_inconsistent,friends<enemies,40
peace,regular,friends<enemies,21
god,regular,friends<enemies,22
hang,regular,friends<enemies,23
shirt,regular,friends<enemies,24
yield,regular,friends<enemies,25
claim,regular,friends<enemies,26
coat,regular,friends<enemies,27
torn,regular,friends<enemies,28
gun,regular,friends<enemies,29
dance,regular,friends<enemies,30
kept,regular,friends<enemies,31
course,regular,friends<enemies,32
fire,regular,friends<enemies,33
porch,regular,friends<enemies,34
best,regular,friends<enemies,35
dark,regular,friends<enemies,36
help,regular,friends<enemies,37
term,regular,friends<enemies,38
like,regular,friends<enemies,39
turn,regular,friends<enemies,40
friend,exception,friends>enemies,41
does,exception,friends>enemies,42
come,exception,friends>enemies,43
front,exception,friends>enemies,44
heard,exception,friends>enemies,45
both,exception,friends>enemies,46
none,exception,friends>enemies,47
breath,exception,friends>enemies,48
tall,exception,friends>enemies,49
touch,exception,friends>enemies,50
post,exception,friends>enemies,51
stood,exception,friends>enemies,52
took,exception,friends>enemies,53
bread,exception,friends>enemies,54
pull,exception,friends>enemies,55
roll,exception,friends>enemies,56
please,exception,friends>enemies,57
child,exception,friends>enemies,58
kind,exception,friends>enemies,59
chose,exception,friends>enemies,60
first,regular,friends>enemies,41
dress,regular,friends>enemies,42
court,regular,friends>enemies,43
force,regular,friends>enemies,44
held,regular,friends>enemies,45
bent,regular,friends>enemies,46
name,regular,friends>enemies,47
boat,regular,friends>enemies,48
tire,regular,friends>enemies,49
trust,regular,friends>enemies,50
past,regular,friends>enemies,51
since,regular,friends>enemies,52
trade,regular,friends>enemies,53
birth,regular,friends>enemies,54
pair,regular,friends>enemies,55
rich,regular,friends>enemies,56
plus,regular,friends>enemies,57
church,regular,friends>enemies,58
keep,regular,friends>enemies,59
choice,regular,friends>enemies,60
south,regular_inconsistent,friends>enemies,61
case,regular_inconsistent,friends>enemies,62
five,regular_inconsistent,friends>enemies,63
days,regular_inconsistent,friends>enemies,64
flat,regular_inconsistent,friends>enemies,65
road,regular_inconsistent,friends>enemies,66
cross,regular_inconsistent,friends>enemies,67
cut,regular_inconsistent,friends>enemies,68
speak,regular_inconsistent,friends>enemies,69
hear,regular_inconsistent,friends>enemies,70
man,regular_inconsistent,friends>enemies,71
brush,regular_inconsistent,friends>enemies,72
pool,regular_inconsistent,friends>enemies,73
print,regular_inconsistent,friends>enemies,74
root,regular_inconsistent,friends>enemies,75
least,regular_inconsistent,friends>enemies,76
golf,regular_inconsistent,friends>enemies,77
roof,regular_inconsistent,friends>enemies,78
taste,regular_inconsistent,friends>enemies,79
found,regular_inconsistent,friends>enemies,80
sense,regular,friends>enemies,61
cast,regular,friends>enemies,62
fine,regular,friends>enemies,63
deal,regular,friends>enemies,64
fact,regular,friends>enemies,65
reach,regular,friends>enemies,66
coast,regular,friends>enemies,67
cup,regular,friends>enemies,68
stage,regular,friends>enemies,69
hope,regular,friends>enemies,70
make,regular,friends>enemies,71
bring,regular,friends>enemies,72
price,regular,friends>enemies,73
place,regular,friends>enemies,74
room,regular,friends>enemies,75
leave,regular,friends>enemies,76
green,regular,friends>enemies,77
rest,regular,friends>enemies,78
team,regular,friends>enemies,79
feed,regular,friends>enemies,80
