word,freq,rank,Syllable,Contraction,Comments
dont,256,95,,TRUE,
thats,167,135,,TRUE,
didnt,157,147,,TRUE,
youre,155,149,,TRUE,
gitchy,111,216,2,,
youll,102,234,,TRUE,
ive,88,270,,TRUE,
theres,86,275,,TRUE,
couldnt,80,296,,TRUE,
wasnt,60,400,,TRUE,
wouldnt,56,421,,TRUE,
isnt,55,424,,TRUE,
hes,53,440,,TRUE,
theyre,48,494,,TRUE,
bedelia,45,516,4,,
stellaluna,42,556,4,,
gruffalo,41,568,3,,
youve,40,578,,TRUE,
1,36,623,,,
weve,32,727,,TRUE,
doesnt,31,737,,TRUE,
2,30,759,,,
3,29,773,,,
hed,28,805,,TRUE,
shes,27,839,,TRUE,
havent,25,886,,TRUE,
heres,25,887,,TRUE,
jennys,25,888,2,,
shang,25,895,1,,
lorax,24,934,2,,
tikki,24,947,2,,
oclock,22,1020,2,,
nutbrown,21,1061,2,,
youd,21,1081,,TRUE,
4,20,1082,,,
5,20,1083,,,
whoooooooo,20,1124,1,,
yertle,19,1188,2,,
6,18,1189,,,
chicka,18,1197,2,,
7,17,1243,,,
hedgie,17,1263,2,,
rumphius,17,1279,3,,
whoo,17,1296,1,,
chugga,15,1368,2,,
clickety,15,1369,3,,
nnn,15,1396,1,,
truffula,15,1423,3,,
whos,15,1428,,TRUE,
froggy,14,1453,2,,
geoppolis,14,1455,4,,
seahorse,13,1548,2,,
aint,12,1577,,TRUE,
chari,12,1592,2,,
flossy,12,1603,2,,
gasazi,12,1604,3,,
goldbug,12,1605,2,,
hadnt,12,1608,,TRUE,
rembo,12,1642,2,,
shouldnt,12,1652,,TRUE,
theyll,12,1667,,TRUE,
tinkers,12,1668,2,,
tsz,12,1670,,,
10,11,1677,,,
8,11,1678,,,
bumpety,11,1697,3,,
hubbles,11,1738,2,,
licken,11,1744,2,,
pembo,11,1758,2,,
peri,11,1759,2,,
ruchi,11,1772,2,,
theyve,11,1794,,TRUE,
tweetle,11,1799,2,,
wheres,11,1803,,TRUE,
wholl,11,1805,,TRUE,
9,10,1810,,,
aj,10,1813,"1, 2",,sublist 
chirped,10,1830,1,,
diddle,10,1841,2,,
eek,10,1848,1,,
flitter,10,1852,2,,
gingko,10,1860,2,,
gruffalos,10,1862,3,,
ler,10,1876,1,,
oink,10,1890,1,,
ooo,10,1891,1,,
petes,10,1897,1,,
ps,10,1902,"1, 2",,sublist
werent,10,1949,,TRUE,
babys,9,1957,2,,
dept,9,1985,1,,
ducky,9,1990,2,,
featherlegs,9,1997,3,,
lillys,9,2025,2,,
maisy,9,2030,2,,
paotze,9,2046,,,pronunciation?
sews,9,2068,1,,
snores,9,2080,1,,
yipiyuk,9,2118,3,,
100,8,2121,,,
blurp,8,2143,1,,
crossly,8,2160,2,,
fol,8,2188,1,,
great_,8,2196,,,_?
hiroko,8,2204,3,,
jamma,8,2211,2,,
lol,8,2220,"1, 3",,sublist
loosey,8,2222,2,,
ol,8,2243,1,,
sixpence,8,2285,2,,
zeg,8,2334,1,,
1936,7,2335,,,
bim,7,2349,1,,
blub,7,2352,1,,
ickle,7,2427,2,,
locky,7,2440,2,,
lupines,7,2443,2,,
merriweathers,7,2447,4,,
mungry,7,2452,2,,
neigh,7,2454,1,,
peepo,7,2463,2,,
pinkalicious,7,2465,4,,
pookie,7,2470,2,,
theyd,7,2516,,TRUE,
thneeds,7,2517,1,,
11,6,2537,,,
arf,6,2543,1,,
ba,6,2545,1,,
baa,6,2546,1,,
bings,6,2559,1,,
chewandswallow,6,2579,4,,
clavel,6,2582,2,,
dickory,6,2598,3,,
elmos,6,2609,2,,
