word,condition,frequency
best,reg_consistent,high
big,reg_consistent,high
came,reg_consistent,high
class,reg_consistent,high
dark,reg_consistent,high
did,reg_consistent,high
fact,reg_consistent,high
got,reg_consistent,high
group,reg_consistent,high
him,reg_consistent,high
main,reg_consistent,high
out,reg_consistent,high
page,reg_consistent,high
place,reg_consistent,high
see,reg_consistent,high
soon,reg_consistent,high
stop,reg_consistent,high
tell,reg_consistent,high
week,reg_consistent,high
when,reg_consistent,high
which,reg_consistent,high
will,reg_consistent,high
with,reg_consistent,high
write,reg_consistent,high
base,reg_inconsistent,high
bone,reg_inconsistent,high
but,reg_inconsistent,high
catch,reg_inconsistent,high
cool,reg_inconsistent,high
days,reg_inconsistent,high
dear,reg_inconsistent,high
five,reg_inconsistent,high
flat,reg_inconsistent,high
flew,reg_inconsistent,high
form,reg_inconsistent,high
go,reg_inconsistent,high
goes,reg_inconsistent,high
grow,reg_inconsistent,high
here,reg_inconsistent,high
home,reg_inconsistent,high
meat,reg_inconsistent,high
paid,reg_inconsistent,high
plant,reg_inconsistent,high
roll,reg_inconsistent,high
root,reg_inconsistent,high
sand,reg_inconsistent,high
small,reg_inconsistent,high
speak,reg_inconsistent,high
brown,ambiguous,high
clear,ambiguous,high
dead,ambiguous,high
down,ambiguous,high
four,ambiguous,high
gone,ambiguous,high
good,ambiguous,high
head,ambiguous,high
how,ambiguous,high
know,ambiguous,high
known,ambiguous,high
love,ambiguous,high
low,ambiguous,high
near,ambiguous,high
now,ambiguous,high
one,ambiguous,high
our,ambiguous,high
own,ambiguous,high
show,ambiguous,high
shown,ambiguous,high
stood,ambiguous,high
town,ambiguous,high
year,ambiguous,high
your,ambiguous,high
are,exception,high
both,exception,high
break,exception,high
choose,exception,high
come,exception,high
do,exception,high
does,exception,high
done,exception,high
foot,exception,high
give,exception,high
great,exception,high
have,exception,high
move,exception,high
pull,exception,high
put,exception,high
said,exception,high
says,exception,high
shall,exception,high
want,exception,high
watch,exception,high
were,exception,high
what,exception,high
word,exception,high
work,exception,high
lare,nonword,high
foth,nonword,high
deak,nonword,high
boose,nonword,high
pome,nonword,high
mo,nonword,high
poes,nonword,high
rone,nonword,high
poot,nonword,high
mive,nonword,high
reat,nonword,high
mave,nonword,high
bove,nonword,high
rull,nonword,high
sut,nonword,high
haid,nonword,high
tays,nonword,high
nall,nonword,high
bant,nonword,high
natch,nonword,high
lere,nonword,high
dat,nonword,high
tord,nonword,high
bork,nonword,high
beam,reg_consistent,low
broke,reg_consistent,low
bus,reg_consistent,low
deed,reg_consistent,low
dots,reg_consistent,low
fade,reg_consistent,low
float,reg_consistent,low
grape,reg_consistent,low
lunch,reg_consistent,low
peel,reg_consistent,low
pitch,reg_consistent,low
pump,reg_consistent,low
ripe,reg_consistent,low
sank,reg_consistent,low
slam,reg_consistent,low
slip,reg_consistent,low
stunt,reg_consistent,low
swore,reg_consistent,low
trunk,reg_consistent,low
wake,reg_consistent,low
wax,reg_consistent,low
weld,reg_consistent,low
wing,reg_consistent,low
wit,reg_consistent,low
brood,reg_inconsistent,low
cook,reg_inconsistent,low
cord,reg_inconsistent,low
cove,reg_inconsistent,low
cramp,reg_inconsistent,low
dare,reg_inconsistent,low
fowl,reg_inconsistent,low
gull,reg_inconsistent,low
harm,reg_inconsistent,low
hoe,reg_inconsistent,low
lash,reg_inconsistent,low
leaf,reg_inconsistent,low
loss,reg_inconsistent,low
mad,reg_inconsistent,low
moose,reg_inconsistent,low
moth,reg_inconsistent,low
mouse,reg_inconsistent,low
mush,reg_inconsistent,low
pork,reg_inconsistent,low
pose,reg_inconsistent,low
pouch,reg_inconsistent,low
rave,reg_inconsistent,low
tint,reg_inconsistent,low
toad,reg_inconsistent,low
blown,ambiguous,low
brow,ambiguous,low
cone,ambiguous,low
crown,ambiguous,low
dive,ambiguous,low
dread,ambiguous,low
flour,ambiguous,low
gear,ambiguous,low
glove,ambiguous,low
glow,ambiguous,low
gown,ambiguous,low
groove,ambiguous,low
hood,ambiguous,low
lone,ambiguous,low
plead,ambiguous,low
pour,ambiguous,low
prone,ambiguous,low
shone,ambiguous,low
spear,ambiguous,low
stove,ambiguous,low
strive,ambiguous,low
swear,ambiguous,low
thread,ambiguous,low
zone,ambiguous,low
bowl,exception,low
broad,exception,low
bush,exception,low
deaf,exception,low
doll,exception,low
flood,exception,low
gross,exception,low
lose,exception,low
pear,exception,low
phase,exception,low
pint,exception,low
plow,exception,low
rouse,exception,low
sew,exception,low
shoe,exception,low
spook,exception,low
swamp,exception,low
swarm,exception,low
touch,exception,low
wad,exception,low
wand,exception,low
wash,exception,low
wool,exception,low
worm,exception,low
nowl,nonword,low
boad,nonword,low
fush,nonword,low
meaf,nonword,low
foll,nonword,low
bood,nonword,low
tross,nonword,low
mose,nonword,low
lear,nonword,low
dase,nonword,low
phint,nonword,low
clow,nonword,low
nouse,nonword,low
tew,nonword,low
choe,nonword,low
stook,nonword,low
dramp,nonword,low
starm,nonword,low
mouch,nonword,low
nad,nonword,low
mand,nonword,low
tash,nonword,low
bool,nonword,low
form,nonword,low
