word,needs_variants
0,
0,
00be,
1,
10,
100,
100th,
105,
109,
11,
12,
"12,3",
13,
135,
14,
15,
16,
17,
170,
18,
19,
1935,
1936,
1988,
2,
20,
200,
207,
21,
22,
23,
24,
25,
27,
3,
30,
38,
39,
4,
40,
4000,
5,
50,
53,
56,
58,
6,
60,
7,
70,
8,
80,
800,
87,
9,
90,
98,
"98,7",
99,
a,
aa,
aaaa,
aaaaaahhh,
aaah,
aaeee,
aah,
aaooga,
abandon,TRUE
abc,
abcd,
abcde,
abcs,
abdul,
abigail,
able,TRUE
aboard,
about,
abouth,
above,
abracadabra,
abracadin,
abroad,
absolute,
absolutely,
abuses,TRUE
accelerated,TRUE
accelerating,
accepted,TRUE
accepting,
accident,TRUE
accidents,
accompanied,TRUE
accordions,TRUE
account,TRUE
ache,TRUE
ached,
aches,
achieve,TRUE
achy,
ack,
acorn,TRUE
acquaintance,TRUE
acrobats,TRUE
across,
act,TRUE
acted,
acting,
action,TRUE
actor,TRUE
actually,
ad,TRUE
adams,
add,
added,
adding,
address,TRUE
addressed,
adds,
adieu,
adjust,TRUE
admiration,TRUE
admire,TRUE
admired,
admiring,
admit,TRUE
admittance,
admitted,
adopt,TRUE
adopted,
adoption,
adore,TRUE
adults,TRUE
advance,TRUE
adventure,TRUE
adventures,
advertising,TRUE
advice,
advise,TRUE
advised,
affectionately,TRUE
afghan,
afghanistan,
afloat,
afraid,
africa,
african,
after,
afternoon,
afternoons,
afterward,
afterwards,
again,
against,
agatha,
age,TRUE
agent,TRUE
ages,
aggle,
aghast,
ago,
agree,TRUE
agreeable,
agreed,
ah,
aha,
ahead,
ahh,
ahhchooo,
ahhh,
ahhhh,
ahoy,
aid,TRUE
aids,
aim,TRUE
aimlessly,
ain,
aint,
air,TRUE
aired,
airmail,
airplane,
airplanes,
airport,
airports,
aisle,TRUE
aj,
al,
alabama,
alabone,
alack,
alan,
alans,
alarm,TRUE
alas,
alaska,
albert,
albie,
albies,
ale,
alehouse,
alexander,
alexanders,
alfalfa,
ali,
alia,
alice,
alices,
alien,TRUE
alike,
alive,
all,
allegiance,TRUE
allen,
allergies,TRUE
allergists,
alley,
alleys,
alligator,
alligators,
allow,TRUE
allowed,
almanac,TRUE
almond,TRUE
almost,
alone,
along,
alongside,
aloud,
alphabet,TRUE
alphabetical,
already,
also,
although,
altogether,
aluminum,
always,
am,TRUE
amaze,TRUE
amazed,
amazing,
amazon,TRUE
amble,
ambulance,TRUE
amelia,
america,
american,
americas,
amiable,TRUE
amid,TRUE
amnythyst,TRUE
among,
amongst,
amos,
amoss,
amount,TRUE
amounts,
ampersand,
amphibian,
amphibians,
amused,TRUE
an,
anchor,TRUE
and,
andcheck,
ande,
ands,
anesthesiologist,TRUE
angel,TRUE
angelfish,
angelina,
angelinas,
angelo,
angels,
angriest,
angry,TRUE
angus,
animal,
animals,
ankle,
ankles,
ankylosaur,TRUE
ann,
anna,
annabelle,
annabelles,
annas,
anne,
annie,
annies,
announce,TRUE
announced,
announcements,
announcer,
announces,
anns,
annual,
another,
answer,
answered,
answers,
ant,
antennae,TRUE
antique,TRUE
antlers,TRUE
antonio,
ants,
anxious,
anxiously,
any,
anybody,
anyhow,
anymore,
anyone,
anything,
anyway,
anywhere,
apart,
apartment,
apartments,
ape,TRUE
apgar,
aphids,
apologized,TRUE
apparently,
appear,TRUE
appearance,
appeared,
appearing,
appendix,
appetite,TRUE
apple,
apples,
applesauce,
appoint,
appointment,TRUE
appreciate,TRUE
approached,TRUE
approaches,
approval,TRUE
april,
apron,TRUE
aquarium,TRUE
ar,
arabella,
arch,TRUE
archduke,
archdukes,
are,
area,TRUE
arena,TRUE
arent,
arf,
arfarfarf,
argentina,
argue,TRUE
argued,
arigato,
aristocrats,TRUE
arithmetic,TRUE
ark,TRUE
arlene,
arm,TRUE
armadillo,TRUE
armchair,TRUE
armored,TRUE
arms,
army,TRUE
arnie,
arnies,
arose,
around,
arrange,TRUE
arranged,
arrangement,
arrgh,
arrivals,TRUE
arrive,
arrived,
arrives,
arriving,
arrooff,
arrow,
arrows,
art,TRUE
arthur,
arthurs,
artificial,
artist,TRUE
artistic,
as,
ashalt,
ashamed,
ashes,TRUE
ashore,
aside,
ask,
asked,
asking,
asks,
asleep,
asphalt,
assigned,TRUE
assignment,
assorted,TRUE
assure,TRUE
