new_variant,bare_form
abandons,FALSE
abandoning,FALSE
abandoned,FALSE
abandonment ,FALSE
ably ,FALSE
ability ,FALSE
abler,FALSE
ablest ,FALSE
abuse,TRUE
abused,FALSE
abusing ,FALSE
abuser ,FALSE
abusive ,FALSE
accelerate ,TRUE
accelerates,FALSE
accelerator ,FALSE
accept,TRUE
accepts,FALSE
acception ,FALSE
accidentally ,FALSE
accidental ,FALSE
accompany,TRUE
accompanying ,FALSE
accordion ,TRUE
accounting ,FALSE
accounts,FALSE
accounted ,FALSE
aching ,FALSE
achieved ,FALSE
achieves ,FALSE
achievement ,FALSE
achieving ,FALSE
acorns,FALSE
acquaintances,FALSE
acrobat,TRUE
acrobatic ,FALSE
acts,FALSE
actions,FALSE
actors,FALSE
ads,FALSE
addition ,FALSE
addresses,FALSE
adjusts,FALSE
adjusting,FALSE
adjusted,FALSE
adjustment ,FALSE
admirations,FALSE
admires,FALSE
admits,FALSE
admitting ,FALSE
admission ,FALSE
adopts ,FALSE
adopting ,FALSE
adores,FALSE
adorable ,FALSE
adoring ,FALSE
adult,TRUE
adulting ,FALSE
adultery ,FALSE
adulthood ,FALSE
advances,FALSE
advancement ,FALSE
advancing ,FALSE
adventured,FALSE
adventuring ,FALSE
advertise,TRUE
advertises ,FALSE
advertisement ,FALSE
advises,FALSE
advisor ,FALSE
affection,TRUE
affectionate,FALSE
aging ,FALSE
agents,FALSE
agreement,FALSE
agreements ,FALSE
agreeably ,FALSE
aided,FALSE
aiding ,FALSE
aimed ,FALSE
aims ,FALSE
aimless ,FALSE
aiming ,FALSE
airing ,FALSE
aisles,FALSE
alarms,FALSE
alarming ,FALSE
alarmed ,FALSE
aliens,FALSE
allegiances,FALSE
allergy ,TRUE
allergic ,FALSE
allergen ,FALSE
allows,FALSE
allowing ,FALSE
almanacs ,FALSE
almonds,FALSE
alphabets ,FALSE
alphabetize ,FALSE
amazement ,FALSE
amazingly ,FALSE
amazons ,FALSE
ambulances,FALSE
americanized ,FALSE
amiably,FALSE
amidst,FALSE
amnythysts,FALSE
amounting,FALSE
amounted ,FALSE
amuse,TRUE
amusing ,FALSE
amusement ,FALSE
anchors ,FALSE
anchored ,FALSE
anchorage ,FALSE
anchoring ,FALSE
anesthesiologists,FALSE
angelic ,FALSE
anger ,FALSE
ankylosaurs,FALSE
announcement,FALSE
announcing ,FALSE
antennaes,FALSE
antiques,FALSE
antler,TRUE
apes,FALSE
apologize,TRUE
apologizing ,FALSE
apology ,FALSE
appears,FALSE
appetites,FALSE
appointments,FALSE
appreciated,FALSE
appreciates ,FALSE
appreciation,FALSE
approach,TRUE
approaching ,FALSE
approvals,FALSE
approving ,FALSE
aprons,FALSE
aquariums,FALSE
arched,FALSE
arching ,FALSE
arches ,FALSE
areas,FALSE
arenas,FALSE
argues,FALSE
argument,FALSE
arguments,FALSE
argumental ,FALSE
arguing ,FALSE
aristocrat,TRUE
arithmetics,FALSE
arks,FALSE
armed,FALSE
armadillos,FALSE
armchairs,FALSE
armor,TRUE
armors ,FALSE
armies ,FALSE
arranges ,FALSE
arranging ,FALSE
arrival ,TRUE
arts,FALSE
artists,FALSE
ash,TRUE
assign ,TRUE
assigning ,FALSE
assort,TRUE
assortment ,FALSE
assured,FALSE
assuring ,FALSE
astonish ,TRUE
astonishing ,FALSE
astoundingly ,FALSE
astound ,TRUE
attach,TRUE
attaching,FALSE
attachment ,FALSE
attacks,FALSE
attends,FALSE
attending ,FALSE
attended,FALSE
attics,FALSE
attitudes,FALSE
attitudinal ,FALSE
authors,FALSE
authorities,FALSE
avenues,FALSE
avoids,FALSE
avoided,FALSE
avoiding,FALSE
awaits,FALSE
awakening ,FALSE
awnings,FALSE
axles ,FALSE
babbles,FALSE
babbled,FALSE
babbling ,FALSE
baboon,TRUE
babysits,FALSE
babysat,FALSE
bachelors,FALSE
backing,FALSE
backgrounds,FALSE
backpack,TRUE
backseats,FALSE
bacterial,FALSE
badgers,FALSE
bagged,FALSE
bagpipes,FALSE
baits,FALSE
baited,FALSE
baiting ,FALSE
bakeries ,FALSE
bakeshops,FALSE
balanced,FALSE
balled,FALSE
ballrooms,FALSE
bananas,FALSE
banded,FALSE
banjo,TRUE
banks,FALSE
banked,FALSE
banking ,FALSE
banners,FALSE
bannered,FALSE
barred,FALSE
barbara,TRUE
barb,TRUE
barbershops,FALSE
barker,TRUE
barnyards,FALSE
barreling ,FALSE
barreled,FALSE
bases,FALSE
based,FALSE
basements,FALSE
bashing,FALSE
basks,FALSE
bate,TRUE
bated,FALSE
bating ,FALSE
baths,FALSE
bathes,FALSE
bathrobes,FALSE
bathrooms,FALSE
bathtubs,FALSE
battering,FALSE
batteries,FALSE
battled,FALSE
battling ,FALSE
bayous,FALSE
bazooka,TRUE
beached,FALSE
beaching ,FALSE
bead,TRUE
beading ,FALSE
beaded ,FALSE
beaming,FALSE
beanstalks,FALSE
beards,FALSE
beasts,FALSE
beauties,FALSE
beckoning,FALSE
bedbug,TRUE
bedrooms,FALSE
beeches,FALSE
beefed,FALSE
beefing,FALSE
beehives,FALSE
beeped,FALSE
beers,FALSE
begs,FALSE
beginner,TRUE
begrudge ,TRUE
begrudged,FALSE
behave,TRUE
behaves ,FALSE
behaviors,FALSE
belched,FALSE
belches ,FALSE
believes,FALSE
belled,FALSE
bellow,TRUE
bellows,FALSE
belonging,FALSE
belt,TRUE
belugas,FALSE
benched,FALSE
benching ,FALSE
bending,FALSE
bets,FALSE
betted ,FALSE
bewilder,TRUE
bewildering ,FALSE
bewitch,TRUE
bewitching ,FALSE
bibs,FALSE
bicycling ,FALSE
bicycled ,FALSE
bigshots,FALSE
biked,FALSE
bills,FALSE
billed,FALSE
billing ,FALSE
billings ,FALSE
binged,FALSE
binging ,FALSE
birding ,FALSE
births,FALSE
birthed,FALSE
birthing ,FALSE
biscuit,TRUE
bitch,TRUE
bitches ,FALSE
bitching ,FALSE
blacken,FALSE
blacks,FALSE
blacksmiths,FALSE
bladed,FALSE
blames,FALSE
blaming ,FALSE
blasts,FALSE
blasting ,FALSE
blazing ,FALSE
bleached,FALSE
bleaches,FALSE
bleaching ,FALSE
bleaks,FALSE
bleat ,TRUE
bleats,FALSE
bleating ,FALSE
bled,FALSE
bleeds,FALSE
bleeding,FALSE
blend,TRUE
blends,FALSE
blending ,FALSE
blessing,TRUE
blinds,FALSE
blinded,FALSE
blinding,FALSE
blizzards,FALSE
blonde,TRUE
blonder,FALSE
blondest,FALSE
blondes ,FALSE
bloody,FALSE
bloodied ,FALSE
blooms,FALSE
blossomed,FALSE
blossoming ,FALSE
blotch,FALSE
blotched,FALSE
blotching ,FALSE
blouses,FALSE
blowed,FALSE
blowers,FALSE
blur,TRUE
blurred,FALSE
blurs ,FALSE
blurt,TRUE
blush,TRUE
blushes,FALSE
blushing ,FALSE
boas,FALSE
boarding,FALSE
boasted,FALSE
boasts,FALSE
boating ,FALSE
boater ,FALSE
bobs,FALSE
bobbing,FALSE
bodied,FALSE
bodyguards,FALSE
bogged,FALSE
bogging ,FALSE
boils,FALSE
bolded,FALSE
bolt,TRUE
bolts,FALSE
bombed,FALSE
bombing,FALSE
bomber,TRUE
boned,FALSE
bonfires,FALSE
bonks,FALSE
bonked,FALSE
bonnets,FALSE
booked,FALSE
booking,FALSE
bookshelves,FALSE
bookshops,FALSE
bookstores,FALSE
booming,FALSE
boons,FALSE
booths,FALSE
boot,TRUE
booted,FALSE
bops,FALSE
bopped,FALSE
bopping,FALSE
borders,FALSE
bores,FALSE
borrows,FALSE
borrowing,FALSE
bosses,FALSE
bossing,FALSE
bossiest,FALSE
bothers,FALSE
bottling ,FALSE
bounces,FALSE
bounciest ,FALSE
bounds,FALSE
bouquets,FALSE
boxed,FALSE
boxing,FALSE
braid,TRUE
braided,FALSE
braiding,FALSE
braked,FALSE
branched,FALSE
branching,FALSE
brands,FALSE
branded,FALSE
branding,FALSE
bravest,FALSE
bravery,FALSE
brays,FALSE
braying,FALSE
breads,FALSE
breading,FALSE
breasts,FALSE
breaths,FALSE
breathes,FALSE
breech,TRUE
breeching ,FALSE
breeched ,FALSE
breezy,FALSE
brews,FALSE
brewing,FALSE
brides,FALSE
bridged,FALSE
briefed,FALSE
briefing,FALSE
briefs,FALSE
brights,FALSE
brightening,FALSE
brisk,TRUE
bristle,TRUE
bristled ,FALSE
broads,FALSE
bruise,TRUE
bruising ,FALSE
buckling ,FALSE
buck,TRUE
bucked,FALSE
bucking,FALSE
budding ,FALSE
buddies,FALSE
budged,FALSE
budging ,FALSE
buffalos,FALSE
buffer,TRUE
buffering ,FALSE
buffered,FALSE
bulge,TRUE
bulged,FALSE
bulk,TRUE
bulled,FALSE
bulldogs,FALSE
bulldozers,FALSE
bums,FALSE
bumble,FALSE
bumbled,FALSE
bumping,FALSE
bumper,TRUE
bunched,FALSE
bunching,FALSE
bunked,FALSE
bunking,FALSE
bunt,FALSE
bunted,FALSE
bureaus,FALSE
burials,FALSE
buries ,FALSE
burying ,FALSE
burn,TRUE
burping,FALSE
burrowed,FALSE
burrowing,FALSE
bursts,FALSE
bussed,FALSE
busts,FALSE
busting,FALSE
busied,FALSE
butts,FALSE
butted,FALSE
buttoning ,FALSE
buyers,FALSE
buzzed,FALSE
buzzes,FALSE
cabs,FALSE
cabbage,FALSE
cabins,FALSE
cackled,FALSE
cackling ,FALSE
caesar,FALSE
cafés,FALSE
caging,FALSE
calendars,FALSE
calms,FALSE
calming,FALSE
campfires,FALSE
canned,FALSE
canal,TRUE
canaries,FALSE
candlesticks,FALSE
canes,FALSE
cannibal,TRUE
canoes,FALSE
canteens,FALSE
canters,FALSE
cantered,FALSE
cantering,FALSE
canvassing ,FALSE
canvases ,FALSE
canvassed,FALSE
capes,FALSE
capitals,FALSE
capped,FALSE
capping ,FALSE
captivate,TRUE
captivating,FALSE
capture,TRUE
capturing,FALSE
captures,FALSE
carded,FALSE
carding,FALSE
careless,TRUE
carts,FALSE
cartons,FALSE
cartoon,TRUE
carve,TRUE
carves,FALSE
cases,FALSE
casing,FALSE
casted,FALSE
casting,FALSE
caterpillars,FALSE
cauldrons,FALSE
causing,FALSE
cautions,FALSE
cautioning,FALSE
cautious,TRUE
caves,FALSE
caved,FALSE
ceases,FALSE
celebrates,FALSE
cementing,FALSE
cemented,FALSE
ceremonies,FALSE
ceremonial,FALSE
chained,FALSE
chaining,FALSE
chalked,FALSE
chalking,FALSE
chambers,FALSE
champs,FALSE
champions,FALSE
championships,FALSE
chancing,FALSE
chandelier,TRUE
channeled,FALSE
channeling,FALSE
chant,TRUE
chants,FALSE
chaps,FALSE
chapped,FALSE
chapels,FALSE
characters,FALSE
charade,TRUE
charging,FALSE
charm,TRUE
charming,FALSE
charmed,FALSE
charts,FALSE
chatted,FALSE
chauffeurs,FALSE
cheaper,FALSE
cheapest,FALSE
cheats,FALSE
cheating,FALSE
cheated,FALSE
checkerboards,FALSE
cheers,FALSE
cheerfully ,FALSE
cheeses,FALSE
chefs,FALSE
cheffing ,FALSE
cheffed,FALSE
chemicals,FALSE
cherishing,FALSE
chews,FALSE
chimpanzee,TRUE
chimp,TRUE
chins,FALSE
chipping ,FALSE
chirps,FALSE
chirrup,TRUE
chirruping,FALSE
chittered,FALSE
chittering,FALSE
chocolates,FALSE
choices,FALSE
chokes,FALSE
choked,FALSE
chomped,FALSE
chomping,FALSE
chomps,FALSE
choppers,FALSE
christen,TRUE
christening,FALSE
christens,FALSE
chuckle,TRUE
chuckling ,FALSE
chuckles,FALSE
chugged,FALSE
chunk,FALSE
churned,FALSE
chutes,FALSE
cigars,FALSE
cinder,TRUE
circulate,FALSE
circulating,FALSE
civilians,FALSE
clacks,FALSE
clacking,FALSE
clacked,FALSE
claim,TRUE
claiming,FALSE
clams,FALSE
clammed,FALSE
clamming,FALSE
clamber,TRUE
clambering,FALSE
clambers,FALSE
clangs,FALSE
clanging,FALSE
clanks,FALSE
claps,FALSE
clarinet,TRUE
clasp,TRUE
clasping,FALSE
clasps,FALSE
classes,FALSE
classify,TRUE
classmate,TRUE
classrooms,FALSE
clatter,TRUE
clattering,FALSE
clawing,FALSE
cleans,FALSE
cleaners,FALSE
clerks,FALSE
clicks,FALSE
clicked,FALSE
clicking,FALSE
cliffs,FALSE
climbers,FALSE
clings,FALSE
clinging,FALSE
clinks,FALSE
clip,TRUE
clips,FALSE
clipping ,FALSE
cloaks,FALSE
clomp,TRUE
clomps,FALSE
clomping,FALSE
cloths,FALSE
clowning,FALSE
clowned,FALSE
clubbing,FALSE
clucks,FALSE
clues,FALSE
clueless,FALSE
cluelessly,FALSE
clumped,FALSE
clumping,FALSE
clumsily,FALSE
