orth,phon,syllables
the,"['DH', 'AH0']",1
and,"['AH0', 'N', 'D']",1
to,"['T', 'UW1']",1
he,"['HH', 'IY1']",1
you,"['Y', 'UW1']",1
of,"['AH1', 'V']",1
in,"['IH0', 'N']",1
was,"['W', 'AA1', 'Z']",1
it,"['IH1', 'T']",1
she,"['SH', 'IY1']",1
said,"['S', 'EH1', 'D']",1
on,"['AA1', 'N']",1
is,"['IH1', 'Z']",1
that,"['DH', 'AE1', 'T']",1
his,"['HH', 'IH1', 'Z']",1
for,"['F', 'AO1', 'R']",1
my,"['M', 'AY1']",1
with,"['W', 'IH1', 'DH']",1
but,"['B', 'AH1', 'T']",1
all,"['AO1', 'L']",1
they,"['DH', 'EY1']",1
her,"['HH', 'ER0']",1
little,"['L', 'IH1', 'T', 'AH0', 'L']",2
up,"['AH1', 'P']",1
not,"['N', 'AA1', 'T']",1
so,"['S', 'OW1']",1
as,"['AE1', 'Z']",1
at,"['AE1', 'T']",1
me,"['M', 'IY1']",1
one,"['W', 'AH1', 'N']",1
do,"['D', 'UW1']",1
what,"['W', 'AH1', 'T']",1
be,"['B', 'IY1']",1
out,"['AW1', 'T']",1
had,"['HH', 'AE1', 'D']",1
when,"['W', 'EH1', 'N']",1
there,"['DH', 'EH1', 'R']",1
are,"['AA1', 'R']",1
then,"['DH', 'EH1', 'N']",1
we,"['W', 'IY1']",1
like,"['L', 'AY1', 'K']",1
have,"['HH', 'AE1', 'V']",1
no,"['N', 'OW1']",1
him,"['HH', 'IH1', 'M']",1
go,"['G', 'OW1']",1
this,"['DH', 'IH1', 'S']",1
your,"['Y', 'AO1', 'R']",1
down,"['D', 'AW1', 'N']",1
can,"['K', 'AE1', 'N']",1
were,"['W', 'ER0']",1
will,"['W', 'IH1', 'L']",1
them,"['DH', 'EH1', 'M']",1
just,"['JH', 'AH1', 'S', 'T']",1
could,"['K', 'UH1', 'D']",1
if,"['IH1', 'F']",1
into,"['IH0', 'N', 'T', 'UW1']",2
now,"['N', 'AW1']",1
time,"['T', 'AY1', 'M']",1
back,"['B', 'AE1', 'K']",1
big,"['B', 'IH1', 'G']",1
would,"['W', 'UH1', 'D']",1
see,"['S', 'IY1']",1
very,"['V', 'EH1', 'R', 'IY0']",2
from,"['F', 'R', 'AH1', 'M']",1
day,"['D', 'EY1']",1
went,"['W', 'EH1', 'N', 'T']",1
its,"['IH1', 'T', 'S']",1
oh,['OW1'],1
im,"['IH1', 'M']",1
who,"['HH', 'UW1']",1
good,"['G', 'UH1', 'D']",1
their,"['DH', 'EH1', 'R']",1
old,"['OW1', 'L', 'D']",1
too,"['T', 'UW1']",1
came,"['K', 'EY1', 'M']",1
jenny,"['JH', 'EH1', 'N', 'IY0']",2
some,"['S', 'AH1', 'M']",1
about,"['AH0', 'B', 'AW1', 'T']",2
where,"['W', 'EH1', 'R']",1
get,"['G', 'EH1', 'T']",1
how,"['HH', 'AW1']",1
house,"['HH', 'AW1', 'S']",1
over,"['OW1', 'V', 'ER0']",2
by,"['B', 'AY1']",1
or,"['AO1', 'R']",1
come,"['K', 'AH1', 'M']",1
mother,"['M', 'AH1', 'DH', 'ER0']",2
did,"['D', 'IH1', 'D']",1
here,"['HH', 'IY1', 'R']",1
night,"['N', 'AY1', 'T']",1
home,"['HH', 'OW1', 'M']",1
well,"['W', 'EH1', 'L']",1
away,"['AH0', 'W', 'EY1']",2
cat,"['K', 'AE1', 'T']",1
an,"['AE1', 'N']",1
know,"['N', 'OW1']",1
right,"['R', 'AY1', 'T']",1
more,"['M', 'AO1', 'R']",1
got,"['G', 'AA1', 'T']",1
way,"['W', 'EY1']",1
two,"['T', 'UW1']",1
think,"['TH', 'IH1', 'NG', 'K']",1
ill,"['IH1', 'L']",1
make,"['M', 'EY1', 'K']",1
love,"['L', 'AH1', 'V']",1
