index,word,freq,freq_scaled
1,aft,936,0.39307013304203064
2,and,10715413,0.93
3,angst,2002,0.4367507389174434
4,ant,2775,0.45550931972670733
5,apt,3780,0.47326645162077574
6,arc,7837,0.5151571500857939
7,arch,3723,0.4723935010683492
8,arm,20429,0.5702026639746253
9,art,62515,0.6344608368561987
10,ask,138495,0.680160404647705
11,aunt,2847,0.4569809773356583
13,babe,3165,0.4630644987681122
14,back,393092,0.7400957344788769
15,bad,153582,0.6861010498197239
16,bade,137,0.28266680051349247
17,badge,2041,0.4378591879190593
18,bag,16429,0.5576832687123701
19,bail,2585,0.4514344644064732
20,bait,4291,0.4805512282532514
21,bake,2530,0.450198872172958
22,bald,2766,0.45532268342462373
23,bale,559,0.363455155234343
24,ball,38504,0.6066166474469002
25,ban,11742,0.5383862491110767
26,band,49181,0.6206779526477317
27,bang,6791,0.5069265789921513
28,bank,39508,0.6080955435341936
29,bar,31563,0.5951963712865121
30,bard,1204,0.40753613084474316
32,barge,3043,0.460806075080669
33,bark,2443,0.44818845361161375
34,barn,2577,0.45125638499395176
35,barre,2,0.03982326329463344
36,base,59145,0.631277118926356
37,bash,4674,0.4854631821919513
38,bass,17077,0.559905800373619
39,bat,6471,0.5041534719112928
40,batch,10265,0.5306627448550221
41,bath,5623,0.49608334214893407
42,bathe,672,0.37403272967409157
43,beach,26668,0.5855143521491287
44,bead,1826,0.4314639932816053
45,beak,584,0.36596880303976753
46,beam,7880,0.5154715202093575
47,bean,3577,0.4700950816010374
48,bear,23531,0.5783243814325943
49,beard,3175,0.4632457381123129
51,beat,33106,0.5979385363609141
52,beck,2085,0.4390845975702938
53,bed,31347,0.5948018439029267
54,beech,511,0.3582970473784523
55,beef,5287,0.49254342359555825
56,beek,2,0.03982326329463344
57,been,735349,0.7760785266490605
58,beep,2305,0.44484779502555716
59,beer,24710,0.5811332109084503
60,beet,422,0.3473026292105003
61,beg,4585,0.4843586441492481
62,beige,1331,0.4132975685963191
63,belch,285,0.32475146867662674
64,bell,24817,0.5813814577952962
65,belle,2290,0.4444726936422119
66,belt,10822,0.5336986123534975
67,bench,5362,0.49335270767527784
68,bend,6893,0.50778309706186
69,bent,8477,0.5196672258520615
70,berth,395,0.3435038743602042
71,best,269710,0.7184534638563863
72,bet,29911,0.5921077509477531
73,bib,783,0.3828157931843084
74,bid,121987,0.6728685069768562
75,bide,246,0.31629684636756983
77,bike,22529,0.575824302668317
78,bile,1618,0.4245158231439499
79,bill,116921,0.6704315886283312
80,bin,15833,0.5555602893850544
81,bind,6802,0.5070195652655412
82,bing,659,0.3729103998927871
83,binge,293,0.3263419598491593
84,birch,1375,0.4151661178204911
85,bird,19072,0.5662536918211281
86,birth,23369,0.5779274776125538
87,bit,159208,0.6881680241712385
88,bitch,9408,0.5256540271913102
89,bite,8164,0.5175057145083262
90,black,160758,0.6887246619047754
92,blame,17328,0.5607441038056359
93,blanch,94,0.2610251176284276
94,bland,1680,0.42667622025336416
95,blank,15242,0.5533746923466998
96,blast,18945,0.5658698353437759
97,blaze,4593,0.4844588016371846
98,bleak,725,0.37839416399710274
99,bleed,2528,0.45015343695946536
100,bleep,130,0.2796536023699913
101,blend,3257,0.4647107215904975
102,bless,3929,0.4754876313000868
103,blew,5339,0.49310573692533555
104,blight,1973,0.4359124186805319
105,blimp,319,0.33122651244806367
106,blind,13561,0.5466609420506618
108,bliss,2220,0.44268909244206817
110,blitz,1458,0.4185335371646689
111,bloat,566,0.364170132943734
112,blob,1172,0.40598848643842617
113,bloc,2,0.03982326329463344
114,block,33259,0.5982034439994895
115,bloke,888,0.3900456018627956
116,blond,3230,0.4642324619270637
117,blood,51803,0.6236620921421608
119,blot,531,0.36050280097976045
120,blouse,1687,0.4269151096805681
121,blow,16922,0.5593819467609478
122,blue,89007,0.6547594075366334
123,bluff,1103,0.4025023667772907
124,blunt,1715,0.42786085654166134
125,blur,1630,0.42494035333516933
126,blush,1256,0.4099653926015077
127,boar,416,0.34647990167461906
128,board,79619,0.6483555858500015
129,boast,960,0.39452471262004596
130,boat,15859,0.5556545575771076
131,bob,63944,0.6357593380455129
132,bog,6277,0.5024046943010599
133,boil,3839,0.4741562755878017
136,bomb,15379,0.5538887898269408
137,bond,12957,0.544043285456003
138,bone,16065,0.5563960339656516
139,bong,1337,0.41355597753779844
140,book,190907,0.6986000135961825
141,boom,4286,0.4804842434905426
142,boon,2286,0.44437225161581273
143,boost,4760,0.48651068691453425
145,booth,4466,0.4828478099652822
146,booze,964,0.39476360204724986
147,bop,893,0.3903681901581756
148,bore,3600,0.47046331888302434
149,born,35183,0.6014344532038408
150,borne,6013,0.49993604023819765
151,boss,10004,0.5291830452089442
152,both,296625,0.7239184573594224
153,bought,57149,0.6293047540560637
154,bounce,4234,0.47978293269979133
155,bound,12727,0.5430142788474597
156,bout,5610,0.4959503612797945
158,box,171532,0.6924516099392845
159,brace,1420,0.4170162791986215
160,brad,2,0.03982326329463344
161,brag,1167,0.40574285620336914
162,braid,503,0.35739047512502525
164,brain,54115,0.6261706748736966
165,brake,6156,0.5012863783270053
166,bran,596,0.36713737534796087
167,branch,13546,0.5465973575555152
168,brand,25021,0.5818517993679702
169,brash,248,0.3167620539657384
170,brass,12057,0.5399072118949259
171,brat,1082,0.40139797642058667
173,brawl,1092,0.4019265249916431
174,brawn,271,0.32185754926030447
175,breach,2606,0.4518993135282975
176,bread,9065,0.5235202553196323
177,breadth,1092,0.4019265249916431
178,break,47768,0.6190031217597513
179,breast,7547,0.512990835336084
180,breath,14434,0.5502453380808253
181,breathe,3119,0.46222335391376346
182,breed,15243,0.5533784615987573
183,breeze,2122,0.44009520337805585
184,brew,2990,0.45979660117563687
185,bribe,1125,0.40363701957839665
187,bride,3678,0.47169483630363906
188,bridge,19358,0.5671088472288883
189,brief,19497,0.5675199128147195
190,brig,746,0.3800346688070893
191,bright,13728,0.5473641368517314
192,brim,397,0.34379404075712994
193,bring,56512,0.6286607718219198
194,brink,1293,0.41163342227802946
195,brisk,350,0.3365548052650306
196,broach,233,0.31317755543657566
197,broad,12610,0.5424836692060419
198,broil,115,0.27260975267955156
199,broke,14087,0.5488472725258555
201,brooch,68,0.24242263552340965
202,brood,697,0.3761313130287399
203,brook,2793,0.45588078324789094
205,broth,770,0.3818539075898976
206,brought,39794,0.6085099486951611
207,brow,806,0.38447911257792333
208,brown,42131,0.6117886472125929
210,brunt,539,0.3613619246439433
211,brush,5703,0.4968949795138027
212,brute,2818,0.4563927526352729
213,buck,6800,0.5070026698604886
214,bud,5261,0.4922601895300542
215,budge,511,0.3582970473784523
216,buff,1702,0.42742369510083494
217,bug,32228,0.5963942679290297
218,build,47710,0.6189333200414708
220,bulge,1266,0.41042100818883953
