word,freq,freq_scaled
hood,7565,0.5131277002552836
booth,4466,0.4828478099652822
rang,1732,0.4284275556625001
curse,7689,0.514061790613688
pup,1766,0.42954445534875263
rise,14755,0.5515090401729591
ring,44169,0.6145026826627219
wide,63299,0.635176871596557
through,305805,0.7256695579264734
urged,2473,0.44888967661013823
peek,1956,0.4354152417342359
guys,58722,0.630864744825299
wave,19214,0.566679870501772
claw,2196,0.4420645990710255
mill,4855,0.4876460370846273
size,107007,0.6653410247702042
act,72218,0.6427502909141465
whiz,867,0.38867059684662475
hath,2089,0.43919471322348924
babe,3165,0.4630644987681122
tray,3384,0.46690840217437296
sewer,1357,0.41440904182872745
and,10715413,0.93
blur,1630,0.42494035333516933
love,165832,0.6905100141186277
icy,10459,0.5317384226717159
shirk,169,0.29472717040290375
hug,3803,0.4736149730542385
door,53815,0.6258512846813726
year,246568,0.7132994002637693
herbs,2418,0.4475974915562626
sawed,2,0.03982326329463344
true,2,0.03982326329463344
isles,1259,0.4101024570588833
gone,51802,0.623660983067802
whoosh,207,0.306379756762324
rash,2287,0.44439737858952055
wool,2068,0.43861423712183406
dead,72866,0.6432635064005572
nag,806,0.38447911257792333
knave,149,0.287490848758694
win,64801,0.6365242267451567
shall,60163,0.6322575794945556
log,21914,0.5742341425697889
noah,2,0.03982326329463344
turn,89687,0.6551966702227884
ware,1933,0.4347356683892386
bait,4291,0.4805512282532514
chop,2333,0.4455414986172027
ark,2892,0.45788198102558914
guess,98365,0.6605029682028419
which,980927,0.792633720408789
mouth,34159,0.5997374739012344
rig,3195,0.46360651056603314
weighed,1711,0.4277266992723726
lair,1490,0.4197808659272335
tease,1425,0.4172182225505328
brew,2990,0.45979660117563687
dig,8931,0.5226646406534635
much,483900,0.7520364188477012
oiled,439,0.3495716767500867
jane,2,0.03982326329463344
mows,2,0.03982326329463344
ruff,2,0.03982326329463344
pat,17027,0.5597373366578338
pawn,1544,0.4218262055322196
hitch,1587,0.42340437658963026
tide,3979,0.4762141562125367
game,197273,0.7004845902076211
mum,1452,0.41829661796515216
tack,1605,0.4240523476437772
gate,16640,0.5584164454324254
dime,2559,0.450853676631605
lawn,2665,0.453185543169955
liar,6140,0.5011368588555833
match,35071,0.6012512687078219
rough,10150,0.5300154615143213
make,520911,0.7562707453286414
nick,17833,0.5623945501295717
honor,11940,0.5393469723877021
coal,4840,0.4874682561553524
end,227506,0.7086766767282738
hire,11831,0.5388200781250795
lash,651,0.3722086772827624
let,206687,0.7031628694108369
lays,1373,0.41508248924027086
ties,7043,0.5090199306578013
ills,883,0.3897211920541192
knack,632,0.3705069103701985
ox,1192,0.40696063864259435
muck,1237,0.40908964065540765
lame,7595,0.5133550864009143
hiss,1136,0.40419605191398233
yip,712,0.3773546273311351
zone,17302,0.5606578333050974
fear,34539,0.6003730759847599
road,66724,0.6382043583541521
got,301023,0.7247640456763086
tongue,14965,0.5523209711243704
dies,8974,0.5229405944319158
fit,42664,0.6125109246759669
hen,1307,0.41225215098293067
then,705902,0.7737304987260609
gnash,56,0.23126782410648544
came,115004,0.6694818025095287
rare,36260,0.603166781908899
dive,8179,0.5176111777169169
yep,2,0.03982326329463344
soon,90303,0.6555899262708986
anna,2,0.03982326329463344
peach,1814,0.43108518207761093
bed,31347,0.5948018439029267
lows,1021,0.39806406708125464
outta,2,0.03982326329463344
hick,433,0.3487810290732333
beer,24710,0.5811332109084503
hem,1793,0.43041619236540285
tree,27220,0.586691425650089
weighs,2044,0.4379435739677192
page,157110,0.6874058936995223
rake,921,0.39214195737074964
tight,19368,0.5671385186773953
arrive,9550,0.5265147143576588
some,1042742,0.796144721004321
peed,413,0.34606407724566707
deep,42697,0.6125553464447341
cap,13883,0.5480091900073043
tang,2558,0.4508312209641442
hair,42605,0.6124314182390549
joey,2,0.03982326329463344
whit,2,0.03982326329463344
joys,1003,0.3970421519572247
led,23400,0.5780036407898428
chewed,806,0.38447911257792333
surf,5925,0.49908900721244953
dare,8887,0.5223808905788196
tock,2,0.03982326329463344
jab,1144,0.4045992312841252
jaws,1548,0.42197485457883654
watch,56976,0.6291305705512045
sun,74085,0.644216703037544
calf,1480,0.4193939767583624
god,129946,0.6764997838982618
furs,336,0.3342094663794581
check,170583,0.692132869923417
sing,10919,0.5342112806716064
nook,239,0.31463829915004743
free,244069,0.7127141372284723
chief,19009,0.5660635953822963
ridge,7148,0.5098701394744674
dine,572,0.36477596798949175
gall,1260,0.4101480726424365
maid,1716,0.427894346967831
dug,2870,0.45744325548572173
tome,5935,0.4991858922682375
toys,15330,0.5537054435253311
heck,12965,0.5440787474273269
dune,2293,0.4445479100934533
itchy,867,0.38867059684662475
whale,2273,0.44404459697996634
glue,5285,0.49252168586375633
ditch,1737,0.42859317360499777
stew,1558,0.422344803213612
bog,6277,0.5024046943010599
poos,2,0.03982326329463344
till,17334,0.5607639939995224
south,66284,0.6378242408427353
lake,21616,0.5734475030494381
bus,35780,0.6024011582593998
durn,2,0.03982326329463344
lurk,1852,0.4322762816551644
snow,20211,0.5695862842568041
hope,150677,0.6850039218667904
sack,2222,0.44274082844238294
goat,2564,0.45096582350396414
sewed,163,0.29265033616662983
cane,5407,0.49383286222056816
nor,54813,0.6269069891431505
toot,258,0.31903321230586384
tap,11397,0.5366728912803868
plow,765,0.3814796207647273
flow,21065,0.5719640202307383
shot,42216,0.6119044424805419
vine,1243,0.409367638735553
seam,1087,0.4016628585148027
bet,29911,0.5921077509477531
bush,10891,0.5340637630220071
vale,3939,0.47563367312876753
alley,3013,0.4602368548584024
ahoy,194,0.30265333013068396
bert,2,0.03982326329463344
sup,1124,0.40358592769022106
hoes,157,0.2904956027176074
less,158430,0.6878865818575312
