word,freq,freq_scaled
frieze,39,0.2104819641797911
rile,164,0.29300173068386404
nip,738,0.37941522534590905
swig,163,0.29265033616662983
stay,49011,0.6204790160761582
clerk,260269,0.716406328017935
fond,4115,0.47814504812729436
live,128444,0.6758318392074478
top,116573,0.6702603328554333
mom,15797,0.5554295083180979
halt,4030,0.4769458664518294
squirm,732,0.37894622009268625
heave,300,0.3276984133154182
groan,1016,0.39778202024840115
hurt,28020,0.5883556353998755
bark,2443,0.44818845361161375
roast,1486,0.4196264227577048
young,66851,0.6383136080027535
bend,6893,0.50778309706186
ride,23595,0.5784804304512432
scream,7437,0.5121472789792249
time,788825,0.7801116735634617
lapse,1457,0.4184941184156322
rouge,2060,0.43839155147689557
elk,1186,0.4066707162890908
done,260269,0.716406328017935
lure,5053,0.48994260024846786
mole,1538,0.42160250833410506
hitch,1587,0.42340437658963026
froze,1331,0.4132975685963191
core,19757,0.5682810048212581
puck,2020,0.43726498941214936
clump,456,0.351754504686621
blood,51803,0.6236620921421608
fink,821,0.38553850629034636
witch,8141,0.5173436273155378
scorn,985,0.3960017303254572
snake,5219,0.4917996873265532
dots,55,0.2302326100726791
psalm,2,0.03982326329463344
mop,725,0.37839416399710274
fell,16829,0.5590653264416517
boon,2286,0.44437225161581273
ruse,913,0.3916407299869718
flew,260269,0.716406328017935
jut,2,0.03982326329463344
goal,26032,0.5841275676913849
cook,55,0.2302326100726791
veldt,2,0.03982326329463344
split,22191,0.5749558132024488
graph,4547,0.483880496989589
ripe,55,0.2302326100726791
lad,2331,0.4454922251798196
froth,409,0.34550492125576604
swum,48,0.222411432156873
hit,64137,0.6359324847810116
manse,2,0.03982326329463344
womb,2493,0.44935244854002476
grain,6579,0.5051044369237124
spine,5169,0.49124661389423047
scar,1740,0.42869231569080285
tank,17483,0.5612557378663577
stuff,140708,0.6810711811305824
mug,1644,0.4254317060810986
charge,45283,0.6159337463734684
zest,290,0.32575067341783015
lend,2985,0.4597004457984352
life,219563,0.706634952471822
prey,3686,0.47181966595506536
trill,271,0.32185754926030447
waltz,1183,0.40652520462548886
pant,538,0.36125523413144994
skulk,108,0.2690016635242846
sharp,12849,0.5435623940920716
fang,919,0.39201705987706803
brawl,1092,0.4019265249916431
mall,7769,0.5146564687082595
theme,14347,0.5498979970605004
dug,2870,0.45744325548572173
hid,1607,0.424123895379633
sphinx,2121,0.44006812214990076
hoof,431,0.3485150432996902
stress,12217,0.5406646136454077
from,1894945,0.8304633632172462
gong,1012,0.3975553815936854
dick,2,0.03982326329463344
large,260269,0.716406328017935
grime,309,0.32939664999206186
cease,3894,0.4749735414948277
hang,17805,0.5623042712465767
lag,2679,0.45348656913651486
smirk,634,0.3706884360329545
sleight,3270,0.46493958253908113
knife,7122,0.5096607806673041
beep,2305,0.44484779502555716
dyke,2,0.03982326329463344
june,2,0.03982326329463344
stout,1932,0.4347059385958367
big,260269,0.716406328017935
croak,187,0.3005419651329158
head,260269,0.716406328017935
fierce,2399,0.4471442595338471
