word, acc, loss
matches, 0.98263890, 2.14790368
chickie, 0.97916669, 1.54884171
sigh, 0.97222221, 1.04867530
lift, 0.97916669, 1.50320733
virginia, 0.98611110, 3.70884609
shang, 0.97569442, 1.67127478
eggs, 0.97569442, 1.93424308
sleepy, 0.98263890, 2.18647504
watered, 0.98263890, 2.77035666
deeds, 0.97916669, 1.99718237
each, 0.96875000, 1.06120920
bunny, 0.97916669, 1.96687865
ellen, 0.97916669, 2.29430556
healthy, 0.98263890, 2.48929977
pie, 0.97222221, 1.04857302
seeding, 0.98263890, 2.40725446
taught, 0.97222221, 1.50866294
ruled, 0.97916669, 2.82162046
tweaked, 0.98263890, 1.51593518
taffy, 0.97916669, 2.03147602
garage, 0.97916669, 2.27772164
bixby, 0.98611110, 2.29310322
snug, 0.97916669, 1.50825524
mice, 0.97569442, 1.42423820
husband, 0.98958331, 2.61230373
witch, 0.97569442, 0.92470622
striped, 0.98611110, 2.41015673
vroomy, 0.97916669, 3.70820665
exhibit, 0.98611110, 2.74483109
roasted, 0.98611110, 3.47154903
loots, 0.97916669, 1.87297106
violet, 0.98263890, 2.88857150
buzz, 0.97569442, 1.34915400
tomorrow, 0.98611110, 3.93852186
penny, 0.97916669, 2.33120704
cousins, 0.98611110, 2.24543858
edge, 0.97222221, 1.56878519
climate, 0.98611110, 2.30515766
ting, 0.97569442, 1.38676035
slingers, 0.98611110, 3.01547384
guards, 0.98263890, 2.62735558
engaged, 0.98263890, 3.97960830
gobbles, 0.98611110, 2.44790816
yelled, 0.97916669, 2.29367709
jaw, 0.97222221, 1.56707752
plug, 0.97916669, 1.50758696
flurries, 0.98263890, 2.91215515
modestly, 0.99305558, 3.02515364
learning, 0.98263890, 2.91646791
pup, 0.97569442, 0.93030655
largest, 0.98958331, 2.92211318
major, 0.97916669, 3.16711569
advised, 0.98611110, 3.25839710
hiroko, 0.98611110, 4.59232998
kissed, 0.97916669, 1.07901776
invites, 0.98611110, 2.56099033
parents, 0.98958331, 3.30616760
mornings, 0.98958331, 4.17357445
glows, 0.97916669, 2.61337399
unto, 0.97916669, 2.03956437
horatio, 0.98263890, 4.05639887
gaga, 0.97916669, 1.77765393
tale, 0.97569442, 2.03452492
deck, 0.97569442, 1.71799707
mourner, 0.98263890, 3.71680713
marshes, 0.98611110, 2.80481672
happens, 0.98611110, 2.31148958
grumbly, 0.98958331, 3.59661770
prowl, 0.97916669, 2.31860089
bah, 0.97222221, 0.99681652
stores, 0.98263890, 2.76547909
bunch, 0.97916669, 1.50462663
jamma, 0.97916669, 2.00457096
shoot, 0.97569442, 1.50429785
locket, 0.98263890, 1.67569685
drizzle, 0.98611110, 2.97721767
drove, 0.97916669, 3.39077425
curtains, 0.98263890, 2.62469220
needles, 0.98611110, 2.72712708
uncouple, 0.98958331, 2.42405605
wacky, 0.97916669, 1.81885886
midair, 0.98263890, 3.44617128
ditch, 0.97569442, 1.13681304
believed, 0.97916669, 3.09582424
pell, 0.97569442, 1.71543634
waste, 0.97916669, 1.98028731
book, 0.97222221, 1.46951926
blossoms, 0.98958331, 2.60888481
steam, 0.97916669, 1.57032478
jobs, 0.97916669, 1.71606851
coat, 0.97569442, 1.82417381
plans, 0.98263890, 2.14732242
bone, 0.97569442, 2.25793552
join, 0.97569442, 2.25120831
splendid, 0.99305558, 3.33472157
towel, 0.97222221, 1.91307616
meaner, 0.97916669, 2.52573633
foolish, 0.98263890, 2.47391725
wicked, 0.98263890, 1.65774727
elmos, 0.98263890, 3.49684262
snappers, 0.98611110, 2.82968616
white, 0.97569442, 1.20415592
spite, 0.97916669, 1.35688782
eight, 0.97222221, 1.66955328
flatbed, 0.98958331, 3.73093152
fastened, 0.98611110, 2.52040148
loving, 0.98263890, 2.58738971
cough, 0.97569442, 1.22103453
spout, 0.97916669, 1.36138320
rocky, 0.97916669, 2.28148293
rich, 0.97569442, 1.68406796
bid, 0.97569442, 1.34893751
swelled, 0.98263890, 2.23560667
saddle, 0.98263890, 2.14729381
bobo, 0.97916669, 3.44695234
rooftops, 0.98958331, 3.56627774
clown, 0.97916669, 1.81465364
stew, 0.97569442, 1.50393343
mealtime, 0.98611110, 3.08614707
there, 0.97569442, 2.50588989
parson, 0.98611110, 2.56173372
knead, 0.97569442, 1.62953615
snoring, 0.98611110, 3.59363270
tremble, 0.98958331, 3.71073914
duke, 0.97569442, 1.71616793
soil, 0.97569442, 2.08535814
chunks, 0.98263890, 1.69664526
ladybug, 0.98958331, 4.22981215
helpless, 0.98958331, 2.77672577
penalty, 0.98958331, 3.24558163
crow, 0.97569442, 2.56265616
ying, 0.97569442, 1.59981835
pudding, 0.98263890, 2.40060687
thinks, 0.98263890, 1.69546878
evenings, 0.98611110, 3.23223877
garages, 0.98611110, 3.02738667
quietly, 0.98958331, 2.78502488
smashed, 0.98263890, 1.72428453
snorting, 0.98958331, 3.74750471
dunk, 0.97916669, 1.75268984
dorling, 0.98611110, 4.12462139
snowshoe, 0.98263890, 3.44106889
dragged, 0.98263890, 2.88773823
hubbard, 0.98263890, 2.39791846
hazel, 0.98263890, 2.76810217
aids, 0.97569442, 2.24761534
trip, 0.97916669, 1.81879127
mild, 0.97916669, 2.00721335
laughs, 0.97916669, 1.78413832
drapes, 0.98263890, 3.08380771
tails, 0.97916669, 2.40069985
required, 0.98958331, 4.02510023
damp, 0.97916669, 1.78176355
hit, 0.97569442, 0.93587995
happened, 0.98611110, 2.31919575
string, 0.98263890, 2.43772364
bubble, 0.98263890, 2.08163428
scenery, 0.98263890, 2.92657423
clack, 0.97916669, 1.56871080
bantam, 0.98611110, 2.51984525
sandbox, 0.99305558, 3.11384082
books, 0.97916669, 1.61185670
lovely, 0.98263890, 2.58693004
sunburn, 0.98611110, 3.06888533
