word,freq,phon_read,phonemes_right,phonemes_wrong,phonemes_proportion,phonemes_sum,phonemes_average,phoneme_dists,stress,wordwise_dist
hood,7565,HH-UH1-D,3,0,1.0,1.0663989976583317,0.2665997494145829,0.4703814396665176-0.4212962646354925-0.14502567575319456-0.029695617603127056,1.0,0.648585782846854
booth,4466,B-UW1-TH,3,0,1.0,0.6318443382305164,0.1579610845576291,0.07174134696220752-0.09918822635067512-0.3895386626424347-0.07137610227519912,1.0,0.41451181259380393
rang,1732,R-AE1-NG,3,0,1.0,0.9620344274432566,0.24050860686081416,0.04253757276204596-0.080093887529751-0.24638204149473747-0.5930209256567222,1.0,0.6485386685109723
curse,7689,K-ER1-S,3,0,1.0,1.7022903916143004,0.4255725979035751,0.10397584153040504-0.3586542123716081-0.3461839260921244-0.8934764116201628,1.0,1.028390601123938
pup,1766,P-AH1-P,3,0,1.0,0.8330767128702673,0.20826917821756682,0.1279694988736121-0.5568922214329515-0.08892398443161596-0.05929100813208778,1.0,0.5813157812987743
rise,14755,R-AY1-S,2,1,0.6666666666666666,1.2240227199121227,0.3060056799780307,0.11413349924577523-0.3787359794989914-0.6778693010945261-0.05328394007282994,1.0,0.7866469128225266
ring,44169,R-IH1-NG,3,0,1.0,0.9482777242395817,0.23706943105989542,0.07042737574118461-0.16650476103048933-0.08346225590025397-0.6278833315676537,1.0,0.658701204583737
wide,63299,W-AY1-D,3,0,1.0,0.4105027628771888,0.1026256907192972,0.10088434922366919-0.08746717390356179-0.19224580641633768-0.029905433333620147,1.0,0.23596809838725813
car,86255,XX-AA0-R,1,2,0.3333333333333333,1.6371546225201645,0.40928865563004113,0.668794531958146-0.6927715321537108-0.0504538778831004-0.22513468052520738,0.0,0.9901766205623851
urged,2473,ER1-JH-XX,2,1,0.6666666666666666,1.4527019050330034,0.36317547625825086,0.1721449937917224-0.47732022760520476-0.7019750051215721-0.10126167851450421,1.0,0.8720615425069739
peek,1956,P-IY1-K,3,0,1.0,0.40056799901500395,0.10014199975375099,0.05671576250509589-0.14687295283457985-0.08463123582288237-0.11234804785244584,1.0,0.2111228834684837
guys,58722,G-AY1-Z,3,0,1.0,1.022647577373681,0.25566189434342024,0.15680378161734698-0.4837724645827851-0.17450207578862234-0.20756925538492652,1.0,0.5763325373893041
mill,4855,M-IH1-L,3,0,1.0,0.5057330506000235,0.12643326265000587,0.05606632390859863-0.4025301543895021-0.006941016733450074-0.04019555556847262,1.0,0.4084578537257088
size,107007,S-AY1-Z,3,0,1.0,0.7156930023258453,0.17892325058146133,0.015011462550425448-0.4187052170672596-0.2571498980717022-0.024826424636458087,1.0,0.49222131632606114
