Word,Latency,# errors,% error
babble,602.5,1,0.03448275862069
baboon,586.9,3,0.103448275862069
backup,552.5,0,0
badger,628.7,2,0.068965517241379
baffle,572.6,0,0
ballad,623.7,3,0.103448275862069
ballet,651.8,11,0.379310344827586
ballot,639.6,1,0.03448275862069
balsam,740.9,2,0.068965517241379
bamboo,585.1,1,0.03448275862069
bandit,585.9,1,0.03448275862069
banner,602.7,0,0
bantam,656.1,1,0.03448275862069
banter,628.1,0,0
barley,618.1,1,0.03448275862069
barrel,599.2,0,0
barter,592.3,0,0
basalt,825.1,14,0.482758620689655
basket,522,1,0.03448275862069
batter,587,1,0.03448275862069
battle,596,0,0
bauble,707.7,2,0.068965517241379
bazaar,636.8,0,0
beagle,625,0,0
beaten,616.8,0,0
bedlam,670.9,2,0.068965517241379
beetle,606.8,0,0
before,584,0,0
beggar,618.1,0,0
behind,568.1,0,0
belief,562.2,0,0
bellow,652,3,0.103448275862069
bereft,878.9,15,0.517241379310345
better,548.6,0,0
beyond,564.9,0,0
biceps,639.4,1,0.03448275862069
billet,703.6,6,0.206896551724138
billow,628.9,2,0.068965517241379
bishop,588,0,0
bistro,683.7,8,0.275862068965517
bitter,603.3,0,0
blazon,685,4,0.137931034482759
boggle,598.3,0,0
bonnet,740.3,5,0.172413793103448
boogie,663.7,1,0.03448275862069
border,591.2,0,0
borrow,612.6,1,0.03448275862069
bother,672,2,0.068965517241379
bottle,549.7,0,0
bottom,558,3,0.103448275862069
brandy,609.6,0,0
bridle,691.7,8,0.275862068965517
broken,536.9,1,0.03448275862069
bronco,619.2,0,0
bubble,600.8,0,0
bucket,568.7,0,0
buckle,583.4,0,0
budget,549.9,1,0.03448275862069
buffer,626.7,0,0
buffet,670.1,8,0.275862068965517
bullet,631.4,1,0.03448275862069
bumble,637.3,1,0.03448275862069
bundle,580,1,0.03448275862069
bungle,622.7,0,0
bunker,593.2,0,0
burden,573.3,0,0
bureau,732.8,10,0.344827586206897
burgle,626.4,1,0.03448275862069
burlap,628.6,2,0.068965517241379
burrow,673.5,3,0.103448275862069
bustle,610.6,3,0.103448275862069
butter,566.9,1,0.03448275862069
button,592.5,0,0
cachet,717.7,15,0.517241379310345
cackle,649.4,2,0.068965517241379
cactus,650.7,1,0.03448275862069
cajole,776.3,10,0.344827586206897
callus,660.9,0,0
campus,642.2,1,0.03448275862069
cancel,591.6,2,0.068965517241379
cancer,603.1,1,0.03448275862069
candle,585.6,0,0
canine,717.9,5,0.172413793103448
canker,674.2,2,0.068965517241379
cannon,585.6,2,0.068965517241379
canter,648,4,0.137931034482759
canuck,754.2,1,0.03448275862069
canvas,628.1,0,0
