TARGET_HF,CONTROL_HF,TARGET_LF,CONTROL_LF
base,bird,brood,brisk
bone,bag,cook,code
but,by,cord,cane
catch,clean,cove,cope
cool,corn,cramp,clang
days,draw,dare,dime
dear,dust,fowl,fawn
five,fast,gull,gong
flat,fine,harm,hide
flew,fish,hoe,hike
form,feet,lash,loom
go,get,leaf,leg
goes,girl,loss,luck
grow,gold,mad,mix
here,help,moose,mole
home,high,moth,mist
meat,mile,mouse,moist
paid,plate,mush,math
plant,piece,pork,pail
roll,rod,pose,peep
root,rice,pouch,peach
sand,sent,rave,reef
small,such,tint,taps
speak,skin,toad,tend
