"word","nearest_phon_rank","nearest_phon","stage"
"dime",1,"dime","Late"
"nook",1,"nook","Late"
"birch",1,"birch","Late"
"dome",1,"dome","Late"
"worm",8,"warm","Late"
"knoll",1,"knoll","Late"
"gin",1,"gin","Late"
"jab",1,"jab","Late"
"reed",1,"reed","Late"
"blow",1,"blow","Late"
"hob",1,"hob","Late"
"soil",1,"soil","Late"
"loupe",1,"loupe","Late"
"gray",1,"gray","Late"
"voice",1,"voice","Late"
"took",1,"took","Late"
"beam",1,"beam","Late"
"lop",1,"lop","Late"
"sheer",1,"sheer","Late"
"prey",1,"prey","Late"
"pout",1,"pout","Late"
"fat",1,"fat","Late"
"fuzz",1,"fuzz","Late"
"tyme",1,"tyme","Late"
"year",1,"year","Late"
"tear",1,"tear","Late"
"rile",1,"rile","Late"
"wrote",1,"wrote","Late"
"weed",1,"weed","Late"
"purse",1,"purse","Late"
"tooth",1,"tooth","Late"
"pare",1,"pare","Late"
"bass",1,"bass","Late"
"sheaf",1,"sheaf","Late"
"tore",1,"tore","Late"
"yawn",1,"yawn","Late"
"chore",3,"corps","Late"
"muck",1,"muck","Late"
"pier",1,"pier","Late"
"dull",1,"dull","Late"
"sight",1,"sight","Late"
"coke",1,"coke","Late"
"shown",1,"shown","Late"
"spy",1,"spy","Late"
"aunt",1,"aunt","Late"
"hut",1,"hut","Late"
"hoof",1,"hoof","Late"
"oft",1,"oft","Late"
"line",1,"line","Late"
"fate",1,"fate","Late"
"knead",1,"knead","Late"
"put",1,"put","Late"
"could",1,"could","Late"
"sheik",1,"sheik","Late"
"bone",1,"bone","Late"
"sane",1,"sane","Late"
"mere",1,"mere","Late"
"dug",1,"dug","Late"
"food",1,"food","Late"
"teen",1,"teen","Late"
"there",1,"there","Late"
"lurk",1,"lurk","Late"
"bet",1,"bet","Late"
"git",1,"git","Late"
"pale",1,"pale","Late"
"kiss",1,"kiss","Late"
"youth",1,"youth","Late"
"move",1,"move","Late"
"theme",1,"theme","Late"
"come",1,"come","Late"
"butt",1,"butt","Late"
"knot",1,"knot","Late"
"cad",1,"cad","Late"
"hedge",1,"hedge","Late"
"peel",1,"peel","Late"
"mime",1,"mime","Late"
"buzz",1,"buzz","Late"
"lure",1,"lure","Late"
"goal",1,"goal","Late"
"ruse",1,"ruse","Late"
"some",1,"some","Late"
"this",1,"this","Late"
"look",1,"look","Late"
"sap",1,"sap","Late"
"whore",1,"whore","Late"
"loose",1,"loose","Late"
"rot",1,"rot","Late"
"gut",1,"gut","Late"
"keep",1,"keep","Late"
"take",1,"take","Late"
"curt",1,"curt","Late"
"sin",1,"sin","Late"
"laid",1,"laid","Late"
"back",1,"back","Late"
"puff",1,"puff","Late"
"rhyme",1,"rhyme","Late"
"set",1,"set","Late"
"mall",1,"mall","Late"
"doom",1,"doom","Late"
"thief",1,"thief","Late"
"nick",1,"nick","Late"
"than",1,"than","Late"
"deer",1,"deer","Late"
"watch",1,"watch","Late"
"lip",1,"lip","Late"
"blur",1,"blur","Late"
"bud",1,"bud","Late"
"taught",1,"taught","Late"
"veer",1,"veer","Late"
"shill",1,"shill","Late"
"fawn",1,"fawn","Late"
"tack",1,"tack","Late"
"tile",1,"tile","Late"
"wreck",1,"wreck","Late"
"gyp",1,"gyp","Late"
"rite",1,"rite","Late"
"hid",1,"hid","Late"
"fowl",1,"fowl","Late"
"blew",1,"blew","Late"
"gang",1,"gang","Late"
"beak",1,"beak","Late"
"writhe",1,"writhe","Late"
"teeth",1,"teeth","Late"
"hag",1,"hag","Late"
"jerk",1,"jerk","Late"
"choose",1,"choose","Late"
"jeep",1,"jeep","Late"
"yawl",1,"yawl","Late"
"yoke",1,"yoke","Late"
"gait",1,"gait","Late"
"neat",1,"neat","Late"
"bar",1,"bar","Late"
"czar",1,"czar","Late"
"draw",1,"draw","Late"
"bite",1,"bite","Late"
"these",1,"these","Late"
"hawk",1,"hawk","Late"
"gear",1,"gear","Late"
"hair",1,"hair","Late"
"rope",1,"rope","Late"
"loaf",1,"loaf","Late"
"soothe",1,"soothe","Late"
"act",1,"act","Late"
"coat",1,"coat","Late"
"clue",1,"clue","Late"
"gush",1,"gush","Late"
"cue",1,"cue","Late"
"cane",1,"cane","Late"
"muff",1,"muff","Late"
"knit",1,"knit","Late"
"sour",1,"sour","Late"
"lame",1,"lame","Late"
"bomb",1,"bomb","Late"
"jazz",1,"jazz","Late"
"shag",1,"shag","Late"
"cod",1,"cod","Late"
"sly",1,"sly","Late"
"piss",1,"piss","Late"
"dun",1,"dun","Late"
"lean",1,"lean","Late"
"dang",1,"dang","Late"
"pang",1,"pang","Late"
"hail",1,"hail","Late"
"walk",1,"walk","Late"
"wing",1,"wing","Late"
"tease",1,"tease","Late"
"bush",1,"bush","Late"
"till",1,"till","Late"
"soup",1,"soup","Late"
"ripe",1,"ripe","Late"
"head",1,"head","Late"
"hose",1,"hose","Late"
"raid",1,"raid","Late"
"yet",1,"yet","Late"
"tide",1,"tide","Late"
"wrap",1,"wrap","Late"
"toad",1,"toad","Late"
"beek",2,"beak","Late"
"cut",1,"cut","Late"
"gout",1,"gout","Late"
"spur",1,"spur","Late"
"lad",1,"lad","Late"
"pot",1,"pot","Late"
"howl",1,"howl","Late"
"perk",1,"perk","Late"
"gnome",1,"gnome","Late"
"plow",1,"plow","Late"
"wreath",1,"wreath","Late"
"gage",1,"gage","Late"
"yore",1,"yore","Late"
"dash",1,"dash","Late"
"sieve",1,"sieve","Late"
"sell",1,"sell","Late"
"touch",1,"touch","Late"
"height",1,"height","Late"
"loan",1,"loan","Late"
"pod",1,"pod","Late"
"pane",1,"pane","Late"
"boil",1,"boil","Late"
"sloe",1,"sloe","Late"
"bing",1,"bing","Late"
"heed",1,"heed","Late"
"wise",1,"wise","Late"
"ream",1,"ream","Late"
"turf",1,"turf","Late"
"ten",1,"ten","Late"
"bong",1,"bong","Late"
"boot",1,"boot","Late"
"ditch",1,"ditch","Late"
"pin",1,"pin","Late"
"cock",1,"cock","Late"
"vale",1,"vale","Late"
"shirt",1,"shirt","Late"
"wife",1,"wife","Late"
"fame",1,"fame","Late"
"curd",1,"curd","Late"
"male",1,"male","Late"
"mig",1,"mig","Late"
"boss",1,"boss","Late"
"pip",1,"pip","Late"
"cot",1,"cot","Late"
"view",1,"view","Late"
"phage",1,"phage","Late"
"doubt",1,"doubt","Late"
"moose",1,"moose","Late"
"tall",1,"tall","Late"
"suck",1,"suck","Late"
"jute",1,"jute","Late"
"whiff",1,"whiff","Late"
"fig",1,"fig","Late"
"net",1,"net","Late"
"sip",1,"sip","Late"
"grew",1,"grew","Late"
"palm",1,"palm","Late"
"soon",1,"soon","Late"
"search",1,"search","Late"
"veal",1,"veal","Late"
"hog",1,"hog","Late"
"soap",1,"soap","Late"
"tick",1,"tick","Late"
"rig",1,"rig","Late"
"page",1,"page","Late"
"nab",1,"nab","Late"
"king",1,"king","Late"
"lug",1,"lug","Late"
"fall",1,"fall","Late"
"hang",1,"hang","Late"
"gown",1,"gown","Late"
"comb",1,"comb","Late"
"jar",1,"jar","Late"
"douse",1,"douse","Late"
"rout",1,"rout","Late"
"birth",1,"birth","Late"
"down",1,"down","Late"
"turn",1,"turn","Late"
"hull",1,"hull","Late"
"sign",1,"sign","Late"
"patch",1,"patch","Late"
"jade",1,"jade","Late"
"sock",1,"sock","Late"
"term",1,"term","Late"
"dole",1,"dole","Late"
"load",1,"load","Late"
"cat",1,"cat","Late"
"lob",1,"lob","Late"
"mead",1,"mead","Late"
"bathe",1,"bathe","Late"
"well",1,"well","Late"
"throw",1,"throw","Late"
"none",1,"none","Late"
"tome",1,"tome","Late"
"knife",1,"knife","Late"
"gauge",2,"gage","Late"
"live",1,"live","Late"
"yes",1,"yes","Late"
"calm",1,"calm","Late"
"ship",1,"ship","Late"
"flee",1,"flee","Late"
"raise",1,"raise","Late"
"hood",1,"hood","Late"
"thick",1,"thick","Late"
"mine",1,"mine","Late"
"elk",1,"elk","Late"
"face",1,"face","Late"
"mush",1,"mush","Late"
"vain",1,"vain","Late"
"one",1,"one","Late"
"math",1,"math","Late"
"churn",1,"churn","Late"
"dyke",1,"dyke","Late"
"wig",1,"wig","Late"
"brow",1,"brow","Late"
"shot",1,"shot","Late"
"kin",1,"kin","Late"
"rock",1,"rock","Late"
"use",1,"use","Late"
"latch",1,"latch","Late"
"lease",1,"lease","Late"
"lush",1,"lush","Late"
"oops",1,"oops","Late"
"role",1,"role","Late"
"fern",1,"fern","Late"
"sob",1,"sob","Late"
"bang",1,"bang","Late"
"fetch",1,"fetch","Late"
"cash",1,"cash","Late"
"tree",1,"tree","Late"
"light",1,"light","Late"
"jog",1,"jog","Late"
"mane",1,"mane","Late"
"bowl",1,"bowl","Late"
"wedge",1,"wedge","Late"
"cull",1,"cull","Late"
"feed",1,"feed","Late"
"house",1,"house","Late"
"corps",2,"court","Late"
"vice",1,"vice","Late"
"reign",1,"reign","Late"
"fen",1,"fen","Late"
"chat",1,"chat","Late"
"ski",1,"ski","Late"
"berth",2,"birth","Late"
"rear",1,"rear","Late"
"sing",1,"sing","Late"
"flay",1,"flay","Late"
"share",1,"share","Late"
"mat",1,"mat","Late"
"brew",1,"brew","Late"
"rob",1,"rob","Late"
"dodge",1,"dodge","Late"
"gem",1,"gem","Late"
"shack",1,"shack","Late"
"moot",1,"moot","Late"
"pup",1,"pup","Late"
"kill",1,"kill","Late"
"wove",1,"wove","Late"
"kit",1,"kit","Late"
"hike",1,"hike","Late"
"retch",1,"retch","Late"
"kale",1,"kale","Late"
"shock",1,"shock","Late"
"peck",1,"peck","Late"
"word",5,"world","Late"
"mug",1,"mug","Late"
"kick",1,"kick","Late"
"pill",1,"pill","Late"
"rime",2,"rhyme","Late"
"hole",1,"hole","Late"
"tan",1,"tan","Late"
"yolk",2,"yoke","Late"
"mice",1,"mice","Late"
"puck",1,"puck","Late"
"batch",1,"batch","Late"
"rein",2,"reign","Late"
"wane",1,"wane","Late"
"hop",1,"hop","Late"
"save",1,"save","Late"
"dish",1,"dish","Late"
"hip",1,"hip","Late"
"cage",1,"cage","Late"
"dour",1,"dour","Late"
"cough",4,"calm","Late"
"shin",1,"shin","Late"
"hate",1,"hate","Late"
"wed",1,"wed","Late"
"dare",1,"dare","Late"
"fad",1,"fad","Late"
"blue",2,"blew","Late"
"whoosh",1,"whoosh","Late"
"full",1,"full","Late"
"main",2,"mane","Late"
"rich",1,"rich","Late"
"nerve",1,"nerve","Late"
"fair",1,"fair","Late"
"hire",1,"hire","Late"
"seen",1,"seen","Late"
"mad",1,"mad","Late"
"cause",1,"cause","Late"
"hope",1,"hope","Late"
"niece",1,"niece","Late"
"node",1,"node","Late"
"sway",1,"sway","Late"
"juke",1,"juke","Late"
"choke",1,"choke","Late"
"bus",1,"bus","Late"
"fit",1,"fit","Late"
"dock",1,"dock","Late"
"par",1,"par","Late"
"merge",1,"merge","Late"
"beg",1,"beg","Late"
"inch",1,"inch","Late"
"dip",1,"dip","Late"
"heal",1,"heal","Late"
"else",1,"else","Late"
"pert",1,"pert","Late"
"dawn",1,"dawn","Late"
"ink",1,"ink","Late"
"shear",2,"sheer","Late"
"mock",1,"mock","Late"
"bat",1,"bat","Late"
"womb",1,"womb","Late"
"dig",1,"dig","Late"
"hiss",2,"his","Late"
"far",1,"far","Late"
"coupe",1,"coupe","Late"
"pike",1,"pike","Late"
"lath",1,"lath","Late"
"night",1,"night","Late"
"rook",1,"rook","Late"
"nail",1,"nail","Late"
"note",1,"note","Late"
"bare",1,"bare","Late"
"leap",1,"leap","Late"
"wood",1,"wood","Late"
"rouse",1,"rouse","Late"
"bake",1,"bake","Late"
"knob",1,"knob","Late"
"road",1,"road","Late"
"badge",1,"badge","Late"
"tough",1,"tough","Late"
"lace",1,"lace","Late"
"time",2,"tyme","Late"
"jape",1,"jape","Late"
"gouge",1,"gouge","Late"
"tube",1,"tube","Late"
"near",1,"near","Late"
"side",1,"side","Late"
"nil",1,"nil","Late"
"lime",1,"lime","Late"
"putt",1,"putt","Late"
"goad",1,"goad","Late"
"site",2,"sight","Late"
"duke",1,"duke","Late"
"girl",1,"girl","Late"
"pouch",1,"pouch","Late"
"cheer",1,"cheer","Late"
"lathe",1,"lathe","Late"
"shame",1,"shame","Late"
"lot",1,"lot","Late"
"rib",1,"rib","Late"
"wag",1,"wag","Late"
"vail",2,"vale","Late"
"tour",1,"tour","Late"
"caught",2,"cot","Late"
"gall",1,"gall","Late"
"pyre",1,"pyre","Late"
"hear",1,"hear","Late"
"tin",1,"tin","Late"
"bum",1,"bum","Late"
"code",1,"code","Late"
"mare",1,"mare","Late"
"yell",1,"yell","Late"
"paid",1,"paid","Late"
"beach",1,"beach","Late"
"lear",1,"lear","Late"
"wreak",1,"wreak","Late"
"bell",1,"bell","Late"
"roam",1,"roam","Late"
"whim",1,"whim","Late"
"fang",1,"fang","Late"
"vise",2,"vice","Late"
"wave",1,"wave","Late"
"rheum",1,"rheum","Late"
"jot",1,"jot","Late"
"nose",1,"nose","Late"
"curse",1,"curse","Late"
"surf",1,"surf","Late"
"burl",1,"burl","Late"
"lid",1,"lid","Late"
"fool",1,"fool","Late"
"tout",1,"tout","Late"
"seem",1,"seem","Late"
"pen",1,"pen","Late"
"shod",1,"shod","Late"
"where",1,"where","Late"
"prow",1,"prow","Late"
"book",1,"book","Late"
"sill",1,"sill","Late"
"shall",1,"shall","Late"
"bull",1,"bull","Late"
"path",1,"path","Late"
"rain",3,"reign","Late"
"bought",1,"bought","Late"
"hoop",1,"hoop","Late"
"real",1,"real","Late"
"feel",1,"feel","Late"
"pole",1,"pole","Late"
"plough",2,"plow","Late"
"phase",1,"phase","Late"
"shake",1,"shake","Late"
"chin",1,"chin","Late"
"tag",1,"tag","Late"
"yam",1,"yam","Late"
"old",1,"old","Late"
"pine",1,"pine","Late"
"hue",1,"hue","Late"
"jack",1,"jack","Late"
"hoc",1,"hoc","Late"
"veil",3,"vale","Late"
"huck",1,"huck","Late"
"few",1,"few","Late"
"peep",1,"peep","Late"
"flea",2,"flee","Late"
"ghoul",1,"ghoul","Late"
"bile",1,"bile","Late"
"sum",2,"some","Late"
"curl",1,"curl","Late"
"bath",1,"bath","Late"
"yen",1,"yen","Late"
"foal",1,"foal","Late"
"haze",1,"haze","Late"
"loot",1,"loot","Late"
"pate",1,"pate","Late"
"rough",1,"rough","Late"
"made",1,"made","Late"
"dame",1,"dame","Late"
"jet",1,"jet","Late"
"boat",1,"boat","Late"
"sure",1,"sure","Late"
"gill",1,"gill","Late"
"stay",1,"stay","Late"
"thin",1,"thin","Late"
"death",1,"death","Late"
"peace",1,"peace","Late"
"floe",1,"floe","Late"
"serf",2,"surf","Late"
"chef",1,"chef","Late"
"shop",1,"shop","Late"
"pet",1,"pet","Late"
"snow",1,"snow","Late"
"letch",1,"letch","Late"
"ledge",1,"ledge","Late"
"love",1,"love","Late"
"rat",1,"rat","Late"
"nap",1,"nap","Late"
"gale",1,"gale","Late"
"purge",1,"purge","Late"
"juice",1,"juice","Late"
"sack",1,"sack","Late"
"met",1,"met","Late"
"rise",1,"rise","Late"
"lead",1,"lead","Late"
"when",1,"when","Late"
"tone",1,"tone","Late"
"seat",1,"seat","Late"
"cache",2,"cash","Late"
"rag",1,"rag","Late"
"axe",1,"axe","Late"
"job",1,"job","Late"
"race",1,"race","Late"
"man",1,"man","Late"
"tang",1,"tang","Late"
"shit",1,"shit","Late"
"rake",1,"rake","Late"
"mesh",1,"mesh","Late"
"kneel",1,"kneel","Late"
"rut",1,"rut","Late"
"laugh",1,"laugh","Late"
"hone",1,"hone","Late"
"jell",1,"jell","Late"
"gore",1,"gore","Late"
"work",1,"work","Late"
"chive",1,"chive","Late"
"dick",1,"dick","Late"
"hide",1,"hide","Late"
"lore",1,"lore","Late"
"learn",2,"lung","Late"
"name",1,"name","Late"
"pass",1,"pass","Late"
"nope",1,"nope","Late"
"vile",1,"vile","Late"
