Word,Pronunciation by model,Correct pronciation
cough,K-AH1-F,K-AA1-F
upper,AH1-P-XX-ER0,AH1-P-ER0
what,W-XX-XX,W-AH1-T
town,T-OW1-N,T-AW1-N
aches,EY1-K-_-Z,EY1-K-S
hers,HH-ER1-Z,HH-ER0-Z
yon,Y-AO1-N,Y-AA1-N
moth,M-OW1-TH,M-AO1-TH
soup,S-AA1-P,S-UW1-P
chef,CH-EH1-F,SH-EH1-F
over,AH1-V-ER0,OW1-V-ER0
itched,IH1-CH-AH0-D,IH1-CH-T
cider,S-AY1-XX-ER0,S-AY1-D-ER0
juiced,JH-UW1-S-T,JH-UW1-S-D
tours,T-AO1-R-Z,T-UH1-R-Z
carl,K-AA1-R-D,K-AA1-R-L
unto,AH0-N-T-UW1,AH1-N-T-UW0
tarry,T-AA1-R-IY0,T-EH1-R-IY0
george,G-XX-R-XX,JH-AO1-R-JH
outlaw,AW1-T-L-XX,AW1-T-L-AO2
paths,P-AE1-TH-S,P-AE1-DH-Z
waked,W-EY1-K-T,W-EY1-K-D
oinked,OY1-N-K-_-XX,OY1-N-K-T
salt,S-AE1-L-T,S-AO1-L-T
ices,AY1-S-_-S,AY1-S-AH0-Z
mickey,M-IH1-K-XX-XX,M-IH1-K-IY0
weird,W-IY1-R-T,W-IH1-R-D
larry,L-AA1-R-IY0,L-EH1-R-IY0
gitchy,G-IH1-CH-_,G-IH1-CH-IY0
lizzy,L-IH1-S-IY0,L-IH1-Z-IY0
jawing,JH-OY1-IH0-NG,JH-AO1-IH0-NG
yours,Y-XX-R-Z,Y-UH1-R-Z
ironed,AY1-ER0-N-_-D,AY1-ER0-N-D
soups,S-AW1-P-S,S-UW1-P-S
mighty,M-AY1-XX-XX,M-AY1-T-IY0
moist,M-AO1-S-T,M-OY1-S-T
eighties,EY0-T-IY1-_,EY1-T-IY0-Z
awfully,AA1-XX-AH0-L-XX,AA1-F-L-IY0
along,AH0-L-OW1-NG,AH0-L-AO1-NG
ickle,IH1-K-_-AH0-L,IH1-K-AH0-L
blown,B-L-AW1-N,B-L-OW1-N
riser,R-IH1-Z-ER0,R-AY1-Z-ER0
surfed,S-ER1-F-D,S-ER1-F-T
autumn,IH1-T-F-AH0-N,AO1-T-AH0-M
ploughs,P-L-AW1-XX-XX,P-L-AW1-Z
leaped,L-IY1-P-T,L-EH1-P-T
wavy,W-XX-V-IY0,W-EY1-V-IY0
caboose,K-AH0-XX-UW1-Z,K-AH0-B-UW1-S
ashamed,AH0-SH-OY1-N-T,AH0-SH-EY1-M-D
raining,R-EY1-N-_-IH0-NG,R-EY1-N-IH0-NG
awkward,AH0-XX-XX-AA0-XX-D,AA1-K-W-ER0-D
upside,AH0-P-S-IH1-D,AH1-P-S-AY1-D
fields,F-IY1-L-D-S,F-IY1-L-D-Z
truths,T-R-XX-TH-S,T-R-UW1-TH-S
newest,N-UW1-_-XX-S-XX,N-UW1-AH0-S-T
onward,XX-N-Y-XX-XX,AO1-N-W-ER0-D
couches,K-AA1-CH-IH0-Z,K-AW1-CH-IH0-Z
scurried,S-K-ER1-IH0-D,S-K-ER1-IY0-D
dawdle,D-XX-XX-AH0-L,D-AO1-D-AH0-L
takeoff,T-EY1-XX-DH-V,T-EY1-K-AO2-F
bosses,B-AA1-S-AH0-Z,B-AO1-S-IH0-Z
wheezes,W-IY1-Z-IH0-Z,W-IY1-Z-AH0-Z
april,IY1-P-R-AH0-D,EY1-P-R-AH0-L
lupine,L-UW1-P-XX-N,L-UW1-P-AY2-N
yawing,Y-AO1-IH0-NG,Y-AA1-W-IH0-NG
cargo,K-AA1-R-G-XX,K-AA1-R-G-OW2
putting,P-UH1-T-IH0-NG,P-AH1-T-IH0-NG
caution,K-AO1-SH-AH0-N,K-AA1-SH-AH0-N
wearing,W-EY1-R-IH0-NG,W-EH1-R-IH0-NG
necktie,N-EH1-K-T-IH2,N-EH1-K-T-AY2
haven,HH-AE1-V-AH0-N,HH-EY1-V-AH0-N
across,AE1-K-R-AH0-S,AH0-K-R-AO1-S
magic,M-IH1-G-IH0-K,M-AE1-JH-IH0-K
erased,IH0-R-EY1-Z-D,IH0-R-EY1-S-T
routed,R-UW1-T-AH0-D,R-UW1-T-IH0-D
forever,F-AO1-R-V-AH0-L,F-ER0-EH1-V-ER0
cities,S-AY1-T-XX-UW0-Z,S-IH1-T-IY0-Z
almond,AO1-L-M-AH0-N-D,AA1-M-AH0-N-D
desire,D-IH0-Z-AY1-XX,D-IH0-Z-AY1-ER0
abuse,AH0-B-Y-UW1-Z,AH0-B-Y-UW1-S
mores,M-AO1-R-Z,M-AO1-R-EY2-Z
undies,AH0-N-D-AY1-Z,AH1-N-D-IY0-Z
overall,OW1-V-ER0-XX-L-S,OW1-V-ER0-AO2-L
goggly,G-AA1-G-AH0-L-IY0,G-AA1-G-L-IY0
living,L-AY1-V-IH0-NG,L-IH1-V-IH0-NG
wetted,W-EH1-T-AH0-D,W-EH1-T-IH0-D
lurches,L-ER1-CH-AH0-Z,L-ER1-CH-IH0-Z
greenie,G-R-IY1-N-IH0-XX,G-R-IY1-N-IY0
carol,K-EH1-R-AH0-L,K-AE1-R-AH0-L
hiking,HH-AY1-G-IH0-NG,HH-AY1-K-IH0-NG
peering,P-IH1-R-IH0-NG,P-IY1-R-IH0-NG
snarl,S-N-AA1-R-XX,S-N-AA1-R-L
illness,IH1-L-_-AH2-N-S,IH1-L-N-AH0-S
cozied,K-AA1-Z-IH0-D,K-OW1-Z-IY0-D
rashes,R-AE1-SH-AH0-Z,R-AE1-SH-IH0-Z
imply,IH1-M-P-L-IY0,IH0-M-P-L-AY1
softer,S-XX-F-XX-XX-ER0,S-AA1-F-T-ER0
thursday,TH-ER1-S-T-L-IY0,TH-ER1-Z-D-EY2
roses,R-OW1-Z-AH0-Z,R-OW1-Z-IH0-Z
study,S-T-AO1-D-IY0,S-T-AH1-D-IY0
napping,N-AE1-P-IH0-IH0-NG,N-AE1-P-IH0-NG
convey,K-AH0-N-V-IY1,K-AH0-N-V-EY1
robbery,R-AA1-B-ER0-D-IY0,R-AA1-B-ER0-IY0
mungry,M-AH1-NG-G-R-IY0,M-AH1-NG-R-IY0
hallway,HH-XX-L-W-EY0,HH-AO1-L-W-EY2
frogs,F-R-XX-G-Z,F-R-AA1-G-Z
gateway,G-EY1-T-W-EY0-TH,G-EY1-T-W-EY2
japan,JH-AE1-P-AH0-N,JH-AH0-P-AE1-N
judges,JH-AH1-JH-AH0-Z,JH-AH1-JH-IH0-Z
toward,T-XX-ER0-XX-_-XX,T-AH0-W-AO1-R-D
vexes,V-EH1-K-S-AH0-Z,V-EH1-K-S-IH0-Z
workload,W-ER1-K-L-AH2-XX,W-ER1-K-L-OW2-D
gracious,G-R-XX-K-_-AH0-S,G-R-EY1-SH-AH0-S
majoring,M-XX-JH-ER0-IH0-NG,M-EY1-JH-ER0-IH0-NG
special,S-P-IY1-SH-AH0-L,S-P-EH1-SH-AH0-L
monorail,M-UH1-N-XX-XX-_,M-AA1-N-ER0-EY2-L
revived,R-IH0-V-AY1-V-T,R-IH0-V-AY1-V-D
downtown,D-AW1-N-XX-AH0-L,D-AW1-N-T-AW1-N
careful,K-EH1-R-XX-AH0-L,K-EH1-R-F-AH0-L
flounced,F-L-AW1-N-T-XX,F-L-AW1-N-S-T
cereal,S-IH1-R-AH0-XX,S-IH1-R-IY0-AH0-L
emerging,IH1-M-ER0-XX-IH0-NG,IH0-M-ER1-JH-IH0-NG
trudges,T-R-AH1-JH-AH0-Z,T-R-AH1-JH-IH0-Z
animal,AE1-N-_-XX-AH0-L,AE1-N-AH0-M-AH0-L
tobago,T-AH0-B-OW1-G,T-AH0-B-EY1-G-OW0
reindeer,R-EH1-N-D-AH0-L,R-EY1-N-D-IH2-R
shortish,SH-AO1-R-XX-IH0-S,SH-AO1-R-T-IH0-SH
binging,B-IH1-NG-_-IH0-NG,B-IH1-NG-G-IH0-NG
coupons,K-UW1-P-XX-N-Z,K-UW1-P-AO2-N-Z
onions,XX-N-Y-AH0-N-Z,AH1-N-Y-AH0-N-Z
darted,D-AA1-R-T-AH0-D,D-AA1-R-T-IH0-D
music,M-XX-UW1-S-_,M-Y-UW1-Z-IH0-K
bantam,B-AE1-N-T-XX-_,B-AE1-N-T-AH0-M
oatsdale,OW1-T-XX-IH0-T-ER2-XX,OW1-T-S-D-EY0-L
woodbine,W-UH1-D-AH0-M,W-UH1-D-B-AY2-N
rowboats,R-OW1-B-OW2-S-XX-Z,R-OW1-B-OW2-T-S
