"word","nearest_phon_rank","nearest_phon","stage"
"aft",1,"aft","Late"
"and",8,"ant","Late"
"angst",1,"angst","Late"
"ant",1,"ant","Late"
"apt",1,"apt","Late"
"arc",2,"art","Late"
"arch",1,"arch","Late"
"arm",1,"arm","Late"
"art",1,"art","Late"
"ask",1,"ask","Late"
"aunt",2,"ant","Late"
"babe",1,"babe","Late"
"back",2,"pack","Late"
"bad",1,"bad","Late"
"bade",1,"bade","Late"
"badge",1,"badge","Late"
"bag",2,"back","Late"
"bail",1,"bail","Late"
"bait",1,"bait","Late"
"bake",1,"bake","Late"
"bald",2,"pall","Late"
"bale",2,"bail","Late"
"ball",1,"ball","Late"
"ban",1,"ban","Late"
"band",1,"band","Late"
"bang",3,"ban","Late"
"bank",3,"ban","Late"
"bar",1,"bar","Late"
"bard",1,"bard","Late"
"barge",3,"par","Late"
"bark",3,"bar","Late"
"barn",3,"bar","Late"
"barre",179,"par","Late"
"base",1,"base","Late"
"bash",1,"bash","Late"
"bass",1,"bass","Late"
"bat",1,"bat","Late"
"batch",1,"batch","Late"
"bath",1,"bath","Late"
"bathe",41,"bath","Late"
"beach",1,"beach","Late"
"bead",1,"bead","Late"
"beak",1,"beak","Late"
"beam",1,"beam","Late"
"bean",1,"bean","Late"
"bear",4,"beer","Late"
"beard",4,"build","Late"
"beat",1,"beat","Late"
"beck",2,"peck","Late"
"bed",1,"bed","Late"
"beech",2,"beach","Late"
"beef",1,"beef","Late"
"beek",2,"beak","Late"
"been",2,"bean","Late"
"beep",1,"beep","Late"
"beer",1,"beer","Late"
"beet",2,"beat","Late"
"beg",2,"beck","Late"
"beige",4,"base","Late"
"belch",3,"bell","Late"
"bell",1,"bell","Late"
"belle",2,"bell","Late"
"belt",1,"belt","Late"
"bench",1,"bench","Late"
"bend",1,"bend","Late"
"bent",1,"bent","Late"
"berth",2,"birch","Late"
"best",1,"best","Late"
"bet",1,"bet","Late"
"bib",1,"bib","Late"
"bid",1,"bid","Late"
