"word","nearest_phon_rank","nearest_phon","stage"
"lose",1,"lose","Late"
"puff",1,"puff","Late"
"share",1,"share","Late"
"that",3,"sat","Late"
"hum",1,"hum","Late"
"louse",1,"louse","Late"
"their",1,"their","Late"
"chute",24,"shot","Late"
"lane",1,"lane","Late"
"call",1,"call","Late"
"life",1,"life","Late"
"knock",1,"knock","Late"
"wrap",1,"wrap","Late"
"root",1,"root","Late"
"flay",1,"flay","Late"
"goat",1,"goat","Late"
"gob",1,"gob","Late"
"tome",1,"tome","Late"
"dim",1,"dim","Late"
"hide",1,"hide","Late"
"shock",1,"shock","Late"
"map",1,"map","Late"
"lab",1,"lab","Late"
"read",1,"read","Late"
"east",1,"east","Late"
"tab",1,"tab","Late"
"bit",1,"bit","Late"
"pail",1,"pail","Late"
"knead",1,"knead","Late"
"ride",1,"ride","Late"
"thin",1,"thin","Late"
"noon",1,"noon","Late"
"gauche",28,"gas","Late"
"with",1,"with","Late"
"bout",1,"bout","Late"
"sieve",1,"sieve","Late"
"myth",1,"myth","Late"
"true",1,"true","Late"
"orb",1,"orb","Late"
"much",1,"much","Late"
"fuss",1,"fuss","Late"
"mess",1,"mess","Late"
"bead",1,"bead","Late"
"hooch",1,"hooch","Late"
"touch",1,"touch","Late"
"dish",1,"dish","Late"
"near",1,"near","Late"
"tray",1,"tray","Late"
"hiss",1,"hiss","Late"
"nude",2,"nod","Late"
"sin",1,"sin","Late"
"pack",1,"pack","Late"
"rain",1,"rain","Late"
"has",1,"has","Late"
"for",1,"for","Late"
"hoc",1,"hoc","Late"
"walk",2,"wall","Late"
"cole",1,"cole","Late"
"dill",1,"dill","Late"
"lob",1,"lob","Late"
"here",1,"here","Late"
"fore",2,"for","Late"
"rack",1,"rack","Late"
"jug",1,"jug","Late"
"dumb",2,"dump","Late"
"young",3,"one","Late"
"seek",1,"seek","Late"
"toll",1,"toll","Late"
"goon",1,"goon","Late"
"sick",1,"sick","Late"
"sill",1,"sill","Late"
"wet",1,"wet","Late"
"chic",10,"chick","Late"
"door",1,"door","Late"
"nor",1,"nor","Late"
"caught",1,"caught","Late"
"serve",4,"some","Late"
"rut",1,"rut","Late"
"jam",1,"jam","Late"
