frequency_category,word,frequency,orthphon
H,blood,121,inconsistent
H,both,730,inconsistent
H,broad,84,inconsistent
H,come,630,inconsistent
H,do,1363,inconsistent
H,does,485,inconsistent
H,done,320,inconsistent
H,door,312,inconsistent
H,four,359,inconsistent
H,front,221,inconsistent
H,full,230,inconsistent
H,give,391,inconsistent
H,gone,195,inconsistent
H,great,665,inconsistent
H,group,390,inconsistent
H,have,3941,inconsistent
H,head,424,inconsistent
H,heard,247,inconsistent
H,heart,173,inconsistent
H,know,683,inconsistent
H,learn,84,inconsistent
H,love,232,inconsistent
H,month,130,inconsistent
H,most,1160,inconsistent
H,move,171,inconsistent
H,none,108,inconsistent
H,once,499,inconsistent
H,one,3292,inconsistent
H,own,772,inconsistent
H,put,437,inconsistent
H,said,1961,inconsistent
H,says,200,inconsistent
H,show,287,inconsistent
H,some,1617,inconsistent
H,source,94,inconsistent
H,stood,212,inconsistent
H,truth,126,inconsistent
H,two,1412,inconsistent
H,where,938,inconsistent
H,whom,146,inconsistent
H,whose,252,inconsistent
H,world,787,inconsistent
H,would,2714,inconsistent
H,your,923,inconsistent
M,aunt,22,inconsistent
M,bear,57,inconsistent
M,bought,56,inconsistent
M,bowl,23,inconsistent
M,bread,41,inconsistent
M,break,88,inconsistent
M,breath,53,inconsistent
M,bull,14,inconsistent
M,bush,14,inconsistent
M,clerk,34,inconsistent
M,earn,16,inconsistent
M,flood,19,inconsistent
M,foot,70,inconsistent
M,gross,66,inconsistent
M,grow,63,inconsistent
M,height,35,inconsistent
M,lose,58,inconsistent
M,meant,100,inconsistent
M,monk,16,inconsistent
M,ninth,20,inconsistent
M,pint,13,inconsistent
M,post,84,inconsistent
M,prove,53,inconsistent
M,pull,51,inconsistent
M,push,37,inconsistent
M,realm,19,inconsistent
M,roll,35,inconsistent
M,shoe,14,inconsistent
M,soul,47,inconsistent
M,soup,16,inconsistent
M,spread,83,inconsistent
M,suite,27,inconsistent
M,sweat,23,inconsistent
M,thread,15,inconsistent
M,threat,42,inconsistent
M,tomb,11,inconsistent
M,ton,13,inconsistent
M,touch,87,inconsistent
M,tough,36,inconsistent
M,tour,43,inconsistent
M,wear,36,inconsistent
M,won,68,inconsistent
M,wood,55,inconsistent
L,breast,11,inconsistent
L,brooch,0,inconsistent
L,caste,3,inconsistent
L,climb,12,inconsistent
L,comb,6,inconsistent
L,cough,7,inconsistent
L,dost,1,inconsistent
L,dough,13,inconsistent
L,dread,9,inconsistent
L,gauge,12,inconsistent
L,ghoul,1,inconsistent
L,glove,9,inconsistent
L,hearth,4,inconsistent
L,hood,7,inconsistent
L,hook,5,inconsistent
L,leapt,2,inconsistent
L,mauve,1,inconsistent
L,mould,1,inconsistent
L,mourn,2,inconsistent
L,mow,0,inconsistent
L,pear,6,inconsistent
L,plaid,1,inconsistent
L,poll,9,inconsistent
L,pour,9,inconsistent
L,scarce,6,inconsistent
L,seize,6,inconsistent
L,sew,6,inconsistent
L,shove,2,inconsistent
L,sieve,1,inconsistent
L,soot,1,inconsistent
L,sponge,7,inconsistent
L,stead,5,inconsistent
L,steak,10,inconsistent
L,suave,2,inconsistent
L,suede,0,inconsistent
L,swear,10,inconsistent
L,tread,5,inconsistent
L,trough,3,inconsistent
L,vase,4,inconsistent
L,womb,1,inconsistent
L,wool,10,inconsistent
L,yearn,1,inconsistent
H,black,203,consistent
H,board,239,consistent
